plantID,week,nutrient_supply,shortcut_of_species,seedmass[mg],width[px],depth[px],distance_from_top_of_root_system_to_centroid[px],area[px2],relative_depth,relative_width,length_of_main_root[px],length_of_lateral_roots[px],number_of_lateral_roots,mean_lenght_of_lateral_roots[px],Genus,species
TM3-121118c.bmp,1,1,TM,1.948,28,68,28.5627781999,610,0.4200408559,0.4117647059,65.639,0,0,0,Trifolium,medium
TM3-121118c.bmp,2,1,TM,1.948,63,106,103.5294117647,1351.5,0.9766925638,0.5943396226,54.282,0,0,0,Trifolium,medium
TM3-121118c.bmp,3,1,TM,1.948,62,106,106.5306122449,1298.5,1.0050057759,0.5849056604,0,0,0,0,Trifolium,medium
TM3-121118c.bmp,4,1,TM,1.948,92,105,33.5065819337,4406,0.3191103041,0.8761904762,69.232,0,0,0,Trifolium,medium
TM3-121118d.bmp,1,1,TM,1.948,53,75,58.3480342742,1984,0.7779737903,0.7066666667,112.302,0,0,0,Trifolium,medium
TM3-121118d.bmp,2,1,TM,1.948,76,96,78.5109412075,3793,0.8178223042,0.7916666667,92.357,0,0,0,Trifolium,medium
TM3-121118d.bmp,3,1,TM,1.948,76,96,78.5109412075,3793,0.8178223042,0.7916666667,0,0,0,0,Trifolium,medium
TM3-121118d.bmp,4,1,TM,1.948,101,112,88.0391943386,5511,0.7860642352,0.9017857143,57.463,28.411,1,28.411,Trifolium,medium
TM3-121118e.bmp,1,1,TM,1.948,16,73,1.168,500,0.016,0.2191780822,69.026,0,0,0,Trifolium,medium
TM3-121118e.bmp,2,1,TM,1.948,76,334,141.7980351103,9313.5,0.4245450153,0.2275449102,205.205,218.776,1,218.776,Trifolium,medium
TM3-121118e.bmp,3,1,TM,1.948,125,573,416.6981419604,35763.5,0.7272218882,0.2181500873,275.403,348.602,0,0,Trifolium,medium
TM3-121118e.bmp,4,1,TM,1.948,329,816,536.0878155873,133917,0.6569703622,0.4031862745,134.69,560.13,11,50.9209090909,Trifolium,medium
TM3-121118f.bmp,1,1,TM,1.948,25,31,0.040987922,28.5,0.001322191,0.8064516129,29.523,0,0,0,Trifolium,medium
TM3-121118f.bmp,2,1,TM,1.948,54,261,86.3833027041,5713.5,0.3309705084,0.2068965517,253.354,0,0,0,Trifolium,medium
TM3-121118f.bmp,3,1,TM,1.948,125,538,116.1735030646,40299,0.2159358793,0.2323420074,263.5,205.661,3,68.5536666667,Trifolium,medium
TM3-121118f.bmp,4,1,TM,1.948,302,758,244.3206199999,113935.5,0.3223227177,0.3984168865,207.068,535.026,2,267.513,Trifolium,medium
TM3-121125a.bmp,1,1,TM,1.948,8,55,27.5,55.5787729264,0.5,0.1454545455,49.518,0,0,0,Trifolium,medium
TM3-121125a.bmp,2,1,TM,1.948,13,81,40.5,82.036577208,0.5,0.1604938272,23.476,0,0,0,Trifolium,medium
TM3-121125a.bmp,3,1,TM,1.948,21,100,50,102.1812115802,0.5,0.21,21.783,0,0,0,Trifolium,medium
TM3-121125a.bmp,4,1,TM,1.948,31,119,59.5,122.9715414232,0.5,0.2605042017,14.804,0,0,0,Trifolium,medium
TM3-121125b.bmp,1,1,TM,1.948,26,83,55.3227417474,851,0.6665390572,0.313253012,81.786,0,0,0,Trifolium,medium
TM3-121125b.bmp,2,1,TM,1.948,31,103,103.5835694051,1059,1.0056657224,0.3009708738,21.082,0,0,0,Trifolium,medium
TM3-121125b.bmp,3,1,TM,1.948,49,103,62.6245100062,2423.5,0.6080049515,0.4757281553,94.231,0,0,0,Trifolium,medium
TM3-121125b.bmp,4,1,TM,1.948,48,103,62.6351351351,2368,0.6081081081,0.4660194175,25.52,0,0,0,Trifolium,medium
TP0-110613an.bmp,1,0,TP,1.487,71,529,544.2268164595,7521.5000000001,1.0287841521,0.1342155009,500.637,34.483,1,34.483,Trifolium,pratense
TP0-110613an.bmp,2,0,TP,1.487,336,855,246.2030764346,83044.5,0.2879568145,0.3929824561,375.571,1315.773,9,146.197,Trifolium,pratense
TP0-110613an.bmp,3,0,TP,1.487,449,1030,413.7165014369,218181,0.4016665062,0.4359223301,217.334,1361.942,2,680.971,Trifolium,pratense
TP0-110613an.bmp,4,0,TP,1.487,545,1318,730.1510671362,350705,0.5539841177,0.4135053111,273.384,1179.298,5,235.8596,Trifolium,pratense
TP0-110613bn.bmp,1,0,TP,1.487,67,367,35.5138064643,10194.5,0.096767865,0.1825613079,356.959,0,0,0,Trifolium,pratense
TP0-110613bn.bmp,2,0,TP,1.487,261,762,167.2419080068,100377,0.2194775696,0.342519685,357.264,328.969,4,82.24225,Trifolium,pratense
TP0-110613bn.bmp,3,0,TP,1.487,482,1078,252.1727755951,270437.5,0.233926508,0.4471243043,311.264,666.124,2,333.062,Trifolium,pratense
TP0-110613bn.bmp,4,0,TP,1.487,549,1344,277.6115228639,386154,0.2065561926,0.4084821429,257.032,678.91,1,678.91,Trifolium,pratense
TP0-110613cn.bmp,1,0,TP,1.487,93,111,0.3810966701,55.4999999998,0.0034333033,0.8378378378,139.079,0,0,0,Trifolium,pratense
