Block	Individual	Age	Competition Treatment	Month	# Rosettes	Total Leaf #	Length (cm)	Width (cm)	Area (cm^2)	Mortality	Fv/Fm	SPAD	SLA (cm^2/g)	RWC (g/g * 100)		Month	Number
3a	205	young	Comp	0	1	30	42.8	3.3	141.24	alive	.	.	.	.			
3b	206	old	Comp	0	4	31	27.4	1.4	38.36	alive	.	.	.	.			
3a	207	young	Comp	0	8	98	16.8	1	16.8	alive	.	.	.	.			
3a	209	young	Comp	0	5	53	27.1	2.6	70.46	alive	.	.	.	.			
3a	211	young	Comp	0	4	49	32.5	2.2	71.5	alive	.	.	.	.			
3a	212	old	Comp	0	8	102	26	1.8	46.8	alive	.	.	.	.			
3b	213	young	Comp	0	4	42	24.6	1	24.6	alive	.	.	.	.			
3a	214	old	Comp	0	6	64	29	1.2	34.8	alive	.	.	.	.			
3a	215	young	Comp	0	3	40	22.8	1.1	25.08	alive	.	.	.	.			
3a	216	old	Comp	0	6	83	24	1.4	33.6	alive	.	.	.	.			
2a	217	young	NoComp	0	1	18	30.7	2.2	67.54	alive	.	.	.	.			
3a	218	old	NoComp	0	4	51	20.3	0.7	14.21	alive	.	.	.	.			
3a	220	old	NoComp	0	5	50	25.2	1.3	32.76	alive	.	.	.	.			
1a	1	young	NoComp	1	5	63	16.3	1.3	21.19	alive	0.687	42.3	182.9268293	98.9869754			
1a	4	old	NoComp	1	2	59	11.6	1.1	12.76	alive	0.717	35.65	177.2972973	76.50193798			
1b	5	young	NoComp	1	4	66	17.1	0.9	15.39	alive	0.739	32.65	185.2631579	79.26829268			
1a	7	young	NoComp	1	3	53	6.8	0.6	4.08	alive	0.771	45.75	142.5462963	33.27532196			
1a	9	young	NoComp	1	4	79	10.2	0.8	8.16	alive	0.716	38.25	194.627451	81.34328358			
1b	11	young	NoComp	1	2	44	7.5	1	7.5	alive	0.691	17.05	81.5248227	72.03023758			
1a	13	young	NoComp	1	5	63	13.5	0.8	10.8	alive	0.765	41.4	154.9577465	81.09794136			
1b	14	old	NoComp	1	4	57	4.8	0.3	1.44	alive	0.672	57.3	86.23246493	71.31192161			
1a	16	old	NoComp	1	10	58	16.7	1.1	18.37	alive	0.703	40.3	41.77580466	54			
1b	17	young	NoComp	1	4	33	24.2	1.8	43.56	alive	0.412	39.3	187.3431734	75.80645161			
1b	18	old	NoComp	1	9	45	12.8	1.5	19.2	alive	0.749	37	127.734375	81.34539288			
1b	19	young	NoComp	1	5	37	22.3	4.5	100.35	alive	0.76	38.45	457.6162791	79.66903073			
1a	20	old	NoComp	1	5	50	11.4	0.7	7.98	alive	0.767	46.05	226.9677419	83.8410596			
1a	21	young	NoComp	1	6	42	11.1	0.8	8.88	alive	0.645	38.9	135.3043478	80.18348624			
1a	22	old	NoComp	1	8	30	16.9	1.2	20.28	alive	0.735	33.7	170.5181347	78.46715328			
1a	23	young	NoComp	1	7	30	9.3	1.3	12.09	alive	0.728	36.85	196.1570248	74.86166008			
1a	27	young	NoComp	1	8	30	15	1.7	25.5	alive	0.761	35.35	373.3229814	88.93236445			
1a	28	old	NoComp	1	8	30	12	1.4	16.8	alive	0.764	38.5	124.2105263	74.0777667			
1a	29	young	NoComp	1	8	50	17.6	1.3	22.88	alive	0.744	35.8	201.2698413	78.1981982			
