species,growthForm,dimensions,lambda,SurvivalV,SurvivalS,SurvivalEraw,RecruitV,RecruitS,RecruitEraw,GrowthTotV,GrowthTotS,GrowthTotEraw,TotElas,SurvivalE,RecruitE,GrowthTotE,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,clonality,Country,criteriaSize,criteriaStage,criteriaAge,criteria,temporalReplication,start,end,spatialReplication,ecoregion2
Pinus ponderosa,Tree,5,0.990405911,0.8486,1.001776578,1,0.010505051,0.007676985,0.000407142,0.094875495,0.012867213,0.001103315,1.001510457,0.996983643,0.000813055,0.002203302,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,Genet,USA,DBH,NA,NA,S,13,1991,2003,15,Temperate forest
Pinus jeffreyi,Tree,5,0.945867797,0.92642,0.992753255,1,0.015449735,0.00758254,0.000619263,0.095247235,4.840455651,0.009476072,1.010095335,0.980011124,0.001226148,0.018762728,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,Genet,USA,DBH,NA,NA,S,18,1983,2000,15,Temperate forest
Fumana procumbens,Shrub,6,1.017308833,0.82347225,1.161763719,1,0.093508714,0.592342487,0.084522806,0.667392832,0.72079656,0.110973849,1.195496656,0.672944873,0.141401995,0.185653132,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Cistaceae,Nanophanerophyte,Genet,USA,Branch number,NA,NA,S,7,1985,1991,3,Temperate forest
Saussurea medusa,Herbaceous perennial,5,1.102602572,0.6270627,179.5944973,1,2767.95222,0.0000129,0.161655608,0.556411072,3.684728908,0.311992974,1.473648582,0.357175669,0.219395059,0.423429273,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Chamaephyte,Genet,CHN,NA,Yes,NA,ST,5,2002,2006,2,Temperate grassland
Fritillaria meleagris,Herbaceous perennial,8,1.017935008,0.747146509,1.128546432,1,0.105933528,0.166305514,0.069174478,0.870613428,1.515253321,0.157061221,1.226235699,0.631007809,0.112824113,0.256168078,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,Genet,CHN,Leaf & Stem length,NA,NA,S,3,1981,1983,2,Temperate grassland
Pterocarpus angolensis,Tree,4,0.970830932,0.92775,0.985088692,1,0.009940507,0.105178825,0.001658887,0.024176967,1.009093988,0.020538182,1.022197069,0.956569884,0.003245728,0.040184388,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Mesophanerophyte,Genet,ZAF,Yes,Based on size,NA,S,2,1992,1993,1,Temperate grassland
Grias peruviana,Tree,9,1.006637586,0.785555556,1.219933259,1,9.070294785,0.000901889,0.018284534,0.240165085,0.356654891,0.05353925,1.071823784,0.865978372,0.034118545,0.099903083,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Lecythidaceae,Mesophanerophyte,Genet,PER,Yes,NA,NA,S,2,1984,1985,1,Temperate grassland
Saxifraga aizoides,Herbaceous perennial,6,0.985805279,0.752791667,1.150260175,1,0.651280755,0.021486259,0.01860423,0.457267027,1.551420725,0.118779507,1.137383737,0.758421485,0.032714078,0.208864438,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Saxifragales,Saxifragaceae,Hemicryptophyte,Genet,AUT,number rosettes,Yes,NA,S.ST,NA,NA,NA,NA,Temperate grassland
Aquilegia chrysantha,Herbaceous perennial,5,0.848919018,0.48362,1.767923066,1,12.17848754,0.021338761,0.138911618,0.628056633,1.514144103,0.353742008,1.492653626,0.339895583,0.186127063,0.473977354,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Hemicryptophyte,Genet,USA,Rosette number,Yes,Yes,S.ST.A,12,1995,2006,1,Temperate grassland
Achnatherum calamagrostis,Herbaceous perennial,11,1.093336299,0.847,1.318686948,1,2.438142072,0.054189546,0.089400273,0.738732567,1.977621216,0.227949958,1.317350231,0.518199149,0.135727419,0.346073432,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,Ramet,ESP,Tiller number,Yes,NA,S.ST,3,1989,1991,2,Temperate grassland
Zea diploperennis,Herbaceous perennial,4,0.765310644,0.699793615,1.056497425,1,27.92170238,0.000465984,0.034227774,0.373483473,12.85001655,0.297468823,1.331696597,0.501843591,0.051404763,0.446751645,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Geophyte,Genet,MEX,Flowering shoot number,Based on size,NA,S,6,1988,1993,3,Temperate grassland
Clintonia borealis,Herbaceous perennial,3,1.064046375,0.923333333,1.209979222,1,0,0,0,0.497640693,1.136325243,0.204728451,1.204728451,0.660125149,0,0.339874851,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,Ramet,USA,Leaf size,NA,NA,S,4,1979,1982,3,Temperate forest
Cirsium dissectum,Herbaceous perennial,6,0.945961809,0.364552333,77.68777074,1,2.375,0.000272018,0.001237193,332.21128,1.771879036,0.4927794,1.494016592,0.338673218,0.001656197,0.659670585,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,Ramet,NLD,Yes,Yes,NA,S.ST,5,1999,2003,3,Temperate forest
Heracleum mantegazzianum,Herbaceous perennial,4,0.275344281,0.233175,1.276015092,1,0.321808511,0.011820385,0.05526028,0.964620425,0.325518295,0.300188454,1.355448734,0.475526112,0.081537986,0.442935902,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,Hemicryptophyte,Genet,CZE,Leaf number & + leaf length,Yes,NA,S.ST,3,2002,2004,5,Temperate forest
Armeria maritima,Herbaceous perennial,11,1.458043853,0.789636364,2.730587917,1,127.2058195,0.004230841,0.122504899,0.6,0.809559597,0.367775583,1.490280482,0.342029252,0.164405158,0.49356559,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Plumbaginaceae,Hemicryptophyte,Genet,BEL,Yes,NA,Based on S,S,5,1975,1979,1,Temperate forest
Rumex rupestris,Herbaceous perennial,4,0.643217258,0.519666667,1.094008292,1,0.085037145,0.123150756,0.030861966,0.846210026,0.352309892,0.135359942,1.166221908,0.714939487,0.052926404,0.232134109,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Polygonaceae,Hemicryptophyte,Genet,ESP,NA,Yes,NA,ST,6,2001,2006,2,Temperate forest
Prunus serotina,Tree,11,1.161433565,0.614863636,3.176399371,1,231.7722681,0.0000853,0.064658129,1,0.363910877,0.313329052,1.377987181,0.451392312,0.093844312,0.454763376,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Rosaceae,Mesophanerophyte,Genet,FRA,Yes,Based on size,NA,S,3,2003,2005,1,Temperate forest
Alliaria petiolata,Herbaceous perennial,4,1.65783929,0.5277735,371.6801597,1,18658.75,0.00000495,0.222876958,0.73988809,1.875474393,0.447885515,1.670762472,0.197058249,0.266796701,0.53614505,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,Genet,USA,NA,Yes,NA,ST,2,1996,1997,1,Temperate forest
Primula elatior,Herbaceous perennial,5,1.037038126,0.707157786,1.535279721,1,0.878538026,0.022716689,0.050642057,0.665815358,0.828920711,0.129976676,1.180618733,0.694026992,0.085789012,0.220183997,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Primulaceae,Hemicryptophyte,Genet,BEL,Yes,Based on size & age,Yes,S.A,4,2004,2007,7,Temperate forest
Lathyrus vernus,Herbaceous perennial,7,1.009614811,0.837285714,1.104069664,1,0.369502731,0.080195944,0.039272215,0.622219529,1.189110642,0.143630652,1.182902868,0.690755898,0.06639973,0.242844373,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Geophyte,Genet,SWE,Volume,Based on size,NA,S,4,1988,1991,1,Temperate forest
