location,individual,RH,AGB,LA,SLA,LDMC,FvFm,PI,SPS,SPI
If,If_11,44.00,1.34,719.06,15.70,298.47,0.84,5.89,289.14,3.02
If,If_12,38.70,0.79,626.47,14.76,299.47,0.84,5.67,278.43,2.3
If,If_13,43.20,0.92,784.72,14.22,307.26,0.82,5.54,259.88,2.67
If,If_14,41.50,1.17,676.00,13.67,297.89,0.84,7.08,281.77,2.48
If,If_15,47.80,1.74,1059.63,13.98,274.54,0.84,7.81,261.97,2.52
If,If_16,27.10,0.55,420.74,15.73,282.17,0.84,7.11,266.65,2.34
If,If_17,39.80,1.38,548.01,16.97,269.39,0.85,8.71,222.51,3.13
If,If_18,32.90,0.83,555.41,14.52,315.46,0.82,3.40,255.13,2.63
If,If_19,35.30,1.10,585.24,13.92,301.22,0.84,8.84,292.56,2.39
If,If_20,28.50,2.07,761.46,14.02,291.54,0.85,9.08,275.96,3.01
Ni,Ni_01,49.80,2.18,1877.99,16.02,259.49,0.85,10.82,284.47,2.28
Ni,Ni_02,50.20,1.61,822.69,13.27,285.65,0.85,8.95,318.75,2.39
Ni,Ni_03,55.30,1.53,966.68,12.91,291.30,0.83,6.15,271.45,2.56
Ni,Ni_04,70.60,,3295.76,11.29,274.14,0.84,10.14,368.72,1.61
Ni,Ni_05,46.30,1.37,850.09,15.47,278.65,0.84,9.03,247.28,2.84
Ni,Ni_06,44.50,0.79,820.76,15.52,268.94,0.84,5.81,292.63,2.16
Ni,Ni_07,41.70,0.61,930.75,16.24,259.51,0.85,12.08,238.91,2.27
Ni,Ni_08,60.60,2.67,1385.06,14.96,258.05,0.83,10.42,239.06,2.87
Ni,Ni_09,57.40,1.74,1722.14,15.89,248.54,0.84,6.66,270.04,2.36
Ni,Ni_10,60.10,1.31,1513.20,13.53,285.00,0.84,9.17,296.49,4.46
Ni,Ni_11,58.40,1.31,1228.41,16.41,229.60,0.85,7.87,270.81,3.15
Ni,Ni_12,64.80,2.02,2174.60,13.54,250.19,0.85,8.42,290.09,3.38
Ni,Ni_13,50.70,0.92,1024.78,15.02,254.14,0.85,12.47,298.50,2.74
