Original.F,Location.T,coords.x1,coords.x2
C_undulatum_LL_&_UTM,Single Plant,403643.835,6463571.501
C_undulatum_LL_&_UTM,Single Plant,403644.115,6463571.836
C_undulatum_LL_&_UTM,Single Plant,403643.194,6463569.278
C_undulatum_LL_&_UTM,Single Plant,403644.131,6463570.173
C_undulatum_LL_&_UTM,Single Plant,403642.709,6463570.604
C_undulatum_LL_&_UTM,Single Plant,403645.061,6463571.734
C_undulatum_LL_&_UTM,Single Plant,403646.749,6463573.191
C_undulatum_LL_&_UTM,Single Plant,403647.132,6463572.641
C_undulatum_LL_&_UTM,Single Plant,403646.658,6463572.858
C_undulatum_LL_&_UTM,Single Plant,403645.271,6463569.519
C_undulatum_LL_&_UTM,Single Plant,403645.37,6463569.077
C_undulatum_LL_&_UTM,Single Plant,403645.277,6463568.965
C_undulatum_LL_&_UTM,Single Plant,403646.224,6463568.752
C_undulatum_LL_&_UTM,Single Plant,403647.23,6463572.309
C_undulatum_LL_&_UTM,Single Plant,403647.596,6463573.532
C_undulatum_LL_&_UTM,Single Plant,403652.128,6463574.018
C_undulatum_LL_&_UTM,Single Plant,403651.393,6463571.794
C_undulatum_LL_&_UTM,Single Plant,403650.92,6463571.9
C_undulatum_LL_&_UTM,Single Plant,403650.744,6463570.457
C_undulatum_LL_&_UTM,Single Plant,403655.919,6463572.945
C_undulatum_LL_&_UTM,Single Plant,403657.517,6463573.847
C_undulatum_LL_&_UTM,Single Plant,403649.607,6463570.779
C_undulatum_LL_&_UTM,Single Plant,403646.024,6463569.859
C_undulatum_LL_&_UTM,Single Plant,403645.559,6463569.078
C_undulatum_LL_&_UTM,Single Plant,403647.001,6463566.542
C_undulatum_LL_&_UTM,Single Plant,403646.531,6463566.205
C_undulatum_LL_&_UTM,Single Plant,403646.342,6463566.203
C_undulatum_LL_&_UTM,Single Plant,403646.724,6463565.764
C_undulatum_LL_&_UTM,Single Plant,403646.806,6463567.095
C_undulatum_LL_&_UTM,Single Plant,403646.704,6463567.981
C_undulatum_LL_&_UTM,Single Plant,403645.399,6463565.973
C_undulatum_LL_&_UTM,Single Plant,403643.707,6463565.07
C_undulatum_LL_&_UTM,Single Plant,403643.896,6463565.072
C_undulatum_LL_&_UTM,Single Plant,403644.662,6463563.97
C_undulatum_LL_&_UTM,Single Plant,403645.919,6463560.989
C_undulatum_LL_&_UTM,Single Plant,403647.076,6463558.561
C_undulatum_LL_&_UTM,Single Plant,403645.848,6463558.439
