spname,EIV.L,EIV.N,plhtclassvalue (cm),leaf area (mm2),nla,seedmass (gr),nsm
Chenopodium opulifolium,8,6,192.5,120.2264435,2,0.549540874,4
Datura stramonium,8,8,192.5,12589.25412,6,8.7096359,4
Zea mays,8,7,384.05,40738.02778,2,104.7128548,1
Euphorbia maculata,9,5,3.05,19.05460718,2,0.067608298,1
Trifolium scabrum,9,1,3.05,97.7237221,3,0.676082975,6
Trifolium glomeratum,9,2,6.05,275.4228703,4,0.436515832,4
Coronopus didymus,9,6,6.05,114.8153621,3,0.309029543,3
Erodium maritimum,9,6,6.05,39.81071706,1,0.489778819,1
Herniaria hirsuta,9,1,6.05,11.74897555,6,0.075857758,3
Polycarpon tetraphyllum,9,4,6.05,16.21810097,2,0.028183829,5
Trifolium micranthum,9,5,6.05,32.35936569,3,0.323593657,3
Viola kitaibeliana,9,2,6.05,125.8925412,1,0.602559586,2
Aira praecox,9,1,12.05,9.54992586,4,0.158489319,6
Amaranthus graecizans,9,8,12.05,676.0829754,1,0.758577575,1
Atriplex glabriuscula,9,9,12.05,1698.243652,4,0.645654229,1
Atriplex laciniata,9,8,12.05,1380.384265,4,11.74897555,1
Centaurium pulchellum,9,4,12.05,54.95408739,4,0.014791084,3
Cerastium brachypetalum,9,2,12.05,48.97788194,1,0.058884366,10
Cochlearia danica,9,5,12.05,114.8153621,6,0.204173794,3
Medicago minima,9,2,12.05,134.8962883,9,0.954992586,7
Minuartia hybrida,9,3,12.05,5.011872336,4,0.033884416,6
Ononis reclinata,9,2,12.05,66.0693448,2,0.676082975,4
Parapholis incurva,9,4,12.05,43.65158322,2,2.344228815,2
Salicornia europaea,9,4,24.05,74.13102413,5,0.28840315,1
Aira caryophyllea,9,1,24.05,12.88249552,3,0.097723722,4
Alyssum alyssoides,9,1,24.05,28.84031503,3,0.575439937,4
Cakile maritima,9,8,24.05,794.3282347,5,15.48816619,2
Cyperus fuscus,9,4,24.05,398.1071706,4,0.054954087,10
Catapodium rigidum,9,1,24.05,60.25595861,10,0.213796209,14
Hypochaeris glabra,9,1,24.05,562.3413252,9,0.645654229,11
Lepidium ruderale,9,6,24.05,51.2861384,5,0.218776162,4
Medicago polymorpha,9,5,24.05,537.0317964,11,2.630267992,6
Myosotis ramosissima,9,1,24.05,144.5439771,5,0.123026877,2
Puccinellia rupestris,9,5,24.05,85.11380382,2,0.45708819,1
Pulicaria vulgaris,9,7,24.05,512.861384,2,0.131825674,7
Silene conica,9,2,24.05,51.2861384,1,0.338844156,5
Teucrium botrys,9,2,24.05,316.227766,6,1.096478196,10
Tuberaria guttata,9,1,24.05,436.5158322,1,0.066069345,2
Vulpia unilateralis,9,2,24.05,51.2861384,3,0.239883292,3
Hordeum marinum,9,5,48.05,93.32543008,5,2.570395783,1
Vulpia bromoides,9,1,48.05,38.01893963,3,0.436515832,3
Ranunculus sceleratus,9,9,48.05,1412.537545,9,0.158489319,2
Amsinckia micrantha,9,3,48.05,724.4359601,2,1.288249552,3
Apera interrupta,9,6,48.05,61.65950019,3,0.151356125,1
Bupleurum tenuissimum,9,4,48.05,169.8243652,2,1.380384265,4
Filago pyramidata,9,1,48.05,48.97788194,9,0.064565423,9
Filago gallica,9,1,48.05,22.90867653,2,0.020892961,3
Filago minima,9,1,48.05,12.02264435,3,0.025118864,5
Melilotus indicus,9,7,48.05,389.045145,2,1.819700859,2
Petrorhagia nanteuilii,9,1,48.05,67.60829754,2,0.257039578,1
Salsola kali kali,9,8,48.05,72.44359601,3,2.630267992,3
Crepis vesicaria,9,5,96.05,870.96359,4,0.34673685,6
Lactuca saligna,9,5,96.05,1202.264435,6,0.602559586,5
Lactuca serriola,9,4,192.5,6918.309709,13,0.549540874,6
Artemisia annua,9,6,192.5,776.2471166,8,0.030902954,4
Atriplex littoralis,9,9,192.5,676.0829754,5,1.445439771,9
Lavatera cretica,9,5,192.5,6165.950019,3,6.309573445,3
Hedypnois rhagadioloides,,,12.05,1122.018454,2,2.041737945,5
Lamarckia aurea,,,12.05,123.0268771,2,0.323593657,1
Linaria supina,,,12.05,19.498446,2,0.204173794,1
Saxifraga cymbalaria,,,12.05,107.1519305,2,0.037153523,1
Solanum triflorum,,,12.05,489.7788194,1,0.676082975,1
Brachypodium distachyon,,,24.05,158.4893192,7,3.548133892,2
Eleusine indica,,,24.05,524.8074602,2,0.478630092,3
Plantago afra,,,24.05,66.0693448,6,0.794328235,5
Anisantha rubens,,,24.05,69.18309709,3,1.819700859,4
Coronilla scorpioides,,,24.05,630.9573445,8,2.691534804,4
Rostraria cristata,,,24.05,213.796209,4,0.151356125,1
Reseda phyteuma,,,24.05,275.4228703,6,1.148153621,2
Scorpiurus muricatus,,,24.05,1258.925412,5,8.912509381,6
Borago officinalis,,,48.05,4466.835922,3,15.84893192,2
Diplotaxis erucoides,,,48.05,1905.460718,4,0.19498446,6
Lagurus ovatus,,,48.05,257.0395783,1,0.549540874,1
Malva parviflora,,,48.05,1445.439771,8,2.630267992,7
Nigella damascena,,,48.05,954.992586,3,1.380384265,1
Trifolium incarnatum incarnatum,,,48.05,2137.96209,3,2.884031503,3
Trifolium tomentosum,,,48.05,165.9586907,2,0.537031796,4
Centranthus calcitrapae,,,48.05,512.861384,3,0.794328235,1
Amaranthus standleyanus,,,48.05,1584.893192,1,0.512861384,1
Anethum graveolens,,,48.05,2454.708916,5,1.737800829,3
Bromus lanceolatus,,,48.05,223.8721139,5,4.786300923,4
Anisantha madritensis,,,48.05,389.045145,7,2.454708916,7
Bromus pseudosecalinus,,,48.05,707.9457844,1,3.630780548,2
Centaurea melitensis,,,48.05,165.9586907,6,1.659586907,3
Cynosurus echinatus,,,48.05,707.9457844,3,1.479108388,9
Echinochloa colona,,,48.05,575.4399373,3,0.891250938,1
Hordeum murinum glaucum,,,48.05,660.693448,10,7.413102413,3
Hordeum murinum leporinum,,,48.05,851.1380382,7,7.079457844,2
Malva nicaeensis,,,48.05,3311.311215,8,5.754399373,5
Sisymbrium erysimoides,,,48.05,1000,1,0.112201845,1
Stipa capensis,,,48.05,301.995172,6,1.698243652,6
Trigonella foenum-graecum,,,48.05,1202.264435,2,14.79108388,1
Lolium rigidum,,,96.05,316.227766,12,2.570395783,7
Panicum capillare,,,96.05,3235.936569,1,0.933254301,1
Phalaris brachystachys,,,96.05,933.2543008,4,1.862087137,2
Phalaris paradoxa,,,96.05,1023.292992,7,1.584893192,4
Vicia sativa sativa,,,96.05,1479.108388,17,63.09573445,4
Carthamus lanatus,,,96.05,186.2087137,1,14.12537545,2
Bidens pilosa,,,96.05,1318.256739,2,2.454708916,3
Bupleurum subovatum,,,96.05,2570.395783,4,3.01995172,4
Conyza bonariensis,,,96.05,309.0295433,2,0.083176377,2
Conyza sumatrensis,,,96.05,630.9573445,2,0.038904514,1
Hibiscus trionum,,,96.05,3890.45145,4,4.897788194,3
Ridolfia segetum,,,96.05,2951.209227,2,0.436515832,3
Avena barbata,,,192.5,1071.519305,8,7.079457844,6
Abutilon theophrasti,,,192.5,3467.368505,1,9.54992586,2
Avena sterilis,,,192.5,1584.893192,13,18.19700859,2
Carduus pycnocephalus,,,192.5,2630.267992,4,5.011872336,3
Chenopodium ambrosioides,,,192.5,1122.018454,3,0.144543977,4
Bassia scoparia,,,192.5,67.60829754,4,0.912010839,6
