",""species"",""region"",""biome"",""spines"",""hmax"",""sla"",""woo"",""ref.sla"",""ref.woo"",""ref.hmax"",""mat"",""map"",""rs"",""nfires"",""avgfrp"",""cec"",""cly"",""crf"",""orc"",""ph"",""slt"",""snd"""
"44,""Pouteria oppositifolia"",""Neotropical"",""forest"",""n"",NA,NA,0.65,"""",""Zanneetal2009"","""",26.1542,2282,53.6902,15.8992,12.225,6.5,37,2.5,23,49.5,20,43"
"45,""Pouteria alnifolia"",""Afrotropical"",""forest"",""n"",NA,NA,0.554675942,"""",""Zanneetal2009"","""",26.4220733333333,1099.6,83.21173,39.3283933333333,15.4032033333333,11.2068965517241,26.7931034482759,20.4655172413793,10.1724137931034,59.3275862068966,17.8965517241379,55.2586206896552"
"46,""Pouteria nemorosa"",""Neotropical"",""forest"","""",NA,24.52448166,0.5375,""Kitajima&Poorter2010/Markesteijn&Poorter2009"",""Poorter2010/Zanneetal2009"","""",24.625,1204,59.0232,83.8538333333333,25.4972333333333,6.16666666666667,28.3333333333333,2.66666666666667,10.3333333333333,53.6666666666667,17.3333333333333,54.1666666666667"
"47,""Pouteria trilocularis"",""Neotropical"",""forest"",""n"",NA,10.89765574,0.671952459,""Dantasetal2013"",""Zanneetal2009"","""",23.5333333333333,1918.66666666667,53.0787333333333,3.31436666666667,12.8928566666667,12.3333333333333,33.5,4.16666666666667,16.5,49.8333333333333,30.5,36"
"48,""Pouteria filipes"",""Neotropical"",""forest"",""n"",NA,NA,0.96432,"""",""Zanneetal2009"","""",26.4375,2297.75,52.4369,2.23605,15.5,9,28.125,1.625,36.75,47.375,25.375,46.375"
"49,""Pouteria trigonosperma"",""Neotropical"",""forest"","""",NA,NA,0.866755,"""",""Zanneetal2009"","""",26.4333,1885,46.5149,0,0,9.5,31,7,19.5,46.5,23.5,45"
"50,""Pouteria elegans"",""Neotropical"",""forest"",""n"",NA,NA,0.73,"""",""Zanneetal2009"","""",26.6336833333333,2543.08333333333,49.3801166666667,2.64893333333333,6.733925,10.1363636363636,27.9545454545455,3.04545454545455,28.0454545454545,45.3181818181818,29.5,42.5454545454545"
"51,""Pouteria coriacea"",""Neotropical"",""forest"",""n"",NA,NA,0.89544,"""",""Zanneetal2009"","""",23.06875,1925,22.35705,0,0,18,27.25,9.75,37.5,47.75,27.25,46"
"52,""Pouteria egregia"",""Neotropical"",""forest"",""n"",NA,NA,0.886878333,"""",""Zanneetal2009"","""",25.10415,2444,43.33535,0,0,16.25,38.75,11.75,64.5,48,22.25,39.25"
"53,""Pouteria macrophylla"",""Neotropical"",""forest"",""n"",NA,20.4,0.74025,""Markesteijn&Poorter2009"",""Poorter2010/Zanneetal2009"","""",25.4431909090909,1900,74.5607545454545,14.98105,16.4079083333333,9,28.5833333333333,3.70833333333333,16.5416666666667,50.5,20.7916666666667,50.7083333333333"
