run.nr,line,habitat,watering,fertilization,WFtreatment,Bar.con,Bry.arg,Did.top,Did.vin,Fis.cur,Fis.sub,Bry.ery,Bry.gem,Pha.cus,Bry.sp,Ric.sp,Ros.sp,Syn.pri,Tor.mur,Wei.con,sr.tall (sp/m2),sr.short (sp/m2),sr.bryo(sp/0.09m2),cover.tall%,cover.short%,cover.bryo%,biomass+litter(g/0.0625m2)
68,4,Harshserp,unwatered,unfertilized,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,4,1,31.9,8.5,1,12.785
103,6b,Harshserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,22.5,3.5,0,14.47
116,7b,Harshserp,unwatered,unfertilized,C,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,1,1,52.5,10,3,5.87
120,7b,Harshserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,13.4,11,0,4.035
19,2,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,93.9,0.4,0,53.52
37,2,Harshserp,watered,fertilized,FW,0,0,0,0,0,1,0,0,0,0.1,0,1,0,0,0,13,2,3,99.7,4.2,2.1,59.935
39,2,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,8,2,1,109.1,7.3,0.1,64.475
46,3,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,106.1,0.7,0,40.46
51,3,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,89,2.6,0,35.12
54,3,Harshserp,watered,fertilized,FW,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,10,2,1,117.8,1.1,0.1,64.53
58,4,Harshserp,watered,fertilized,FW,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,16,1,1,85,1.5,0.2,12.89
65,4,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,103.7,23,0,33.485
100,6b,Harshserp,watered,fertilized,FW,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,65.1,0,0.01,82.41
102,6b,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,77.2,0.3,0,88.025
117,7b,Harshserp,watered,fertilized,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,91.4,0,0,68.775
15,2,Harshserp,watered,unfertilized,W,0,0,0,2,0,0,0,0,0,0,0,0,0.8,0,0,16,2,2,30.8,1,2.8,13.415
41,2,Harshserp,watered,unfertilized,W,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,4,1,29.4,3.7,5,12.5
43,2,Harshserp,watered,unfertilized,W,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,13,3,1,49.8,2.3,25,11.075
48,3,Harshserp,watered,unfertilized,W,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,15,5,1,24.8,7.4,5,8.13
