Block,Species_source,Plant_Number,Rust_4th,Rust_17th,Height
2,10,Plant1,0,0,NA
2,10,Plant2,3,2,67
2,10,Plant3,2,1,44
2,10,Plant4,2,2,54
2,10,Plant5,1,0,61
2,34,Plant1,0,0,NA
2,34,Plant2,0,0,58
2,34,Plant3,0,0,NA
2,34,Plant4,0,0,NA
2,34,Plant5,0,0,NA
2,1,Plant1,0,0,60
2,1,Plant2,0,0,NA
2,1,Plant3,0,0,30
2,1,Plant4,0,0,7
2,1,Plant5,0,0,53
2,15,Plant1,0,0,NA
2,15,Plant2,2,1,61
2,15,Plant3,3,1,34
2,15,Plant4,2,1,58
2,15,Plant5,0,0,NA
2,5,Plant1,0,0,40
2,5,Plant2,0,0,NA
2,5,Plant3,0,0,33
2,5,Plant4,0,0,NA
2,5,Plant5,0,0,NA
2,37,Plant1,4,3,70
2,37,Plant2,0,0,NA
2,37,Plant3,5,4,80
2,37,Plant4,0,0,NA
2,37,Plant5,4,4,70
3,14,Plant1,1,1,61
3,14,Plant2,2,1,66
3,14,Plant3,1,1,60
3,14,Plant4,0,0,NA
3,14,Plant5,0,0,NA
3,1,Plant1,0,0,41
3,1,Plant2,0,0,NA
3,1,Plant3,0,0,20
3,1,Plant4,0,0,31
3,1,Plant5,0,0,59
3,37,Plant1,1,0,72
3,37,Plant2,2,1,70
3,37,Plant3,3,1,73
3,37,Plant4,0,0,NA
3,37,Plant5,0,0,NA
3,34,Plant1,2,1,69
3,34,Plant2,0,0,NA
3,34,Plant3,1,0,56
3,34,Plant4,1,1,42
3,34,Plant5,1,0,43
2,40,Plant1,2,1,58
2,40,Plant2,1,0,57
2,40,Plant3,0,0,NA
2,40,Plant4,3,2,63
2,40,Plant5,0,0,30
2,32,Plant1,0,0,76
2,32,Plant2,0,0,58
2,32,Plant3,0,0,62
2,32,Plant4,0,0,69
2,32,Plant5,0,0,65
2,28,Plant1,2,2,78
2,28,Plant2,0,0,NA
2,28,Plant3,1,1,83
2,28,Plant4,1,1,42
2,28,Plant5,0,0,NA
2,11,Plant1,3,3,84
2,11,Plant2,5,4,80
2,11,Plant3,5,4,81
2,11,Plant4,0,0,11
2,11,Plant5,5,4,74
3,38,Plant1,0,1,61
3,38,Plant2,0,0,NA
3,38,Plant3,0,0,NA
3,38,Plant4,1,0,59
3,38,Plant5,0,0,NA
3,23,Plant1,0,0,NA
3,23,Plant2,0,0,NA
3,23,Plant3,1,0,27
3,23,Plant4,0,0,NA
3,23,Plant5,1,0,52
3,31,Plant1,0,0,32
3,31,Plant2,2,1,62
3,31,Plant3,0,0,NA
3,31,Plant4,1,1,63
3,31,Plant5,1,1,61
3,6,Plant1,0,0,30
3,6,Plant2,0,1,61
3,6,Plant3,0,0,NA
3,6,Plant4,2,1,69
3,6,Plant5,0,0,NA
3,21,Plant1,2,1,65
3,21,Plant2,1,1,64
3,21,Plant3,0,0,51
3,21,Plant4,0,0,NA
3,21,Plant5,1,1,42
3,13,Plant1,0,1,72
3,13,Plant2,1,1,67
3,13,Plant3,1,1,73
3,13,Plant4,1,1,63
3,13,Plant5,1,1,61
3,2,Plant1,0,0,66
3,2,Plant2,0,0,39
3,2,Plant3,0,0,63
3,2,Plant4,0,0,64
3,2,Plant5,0,0,70
3,28,Plant1,0,0,NA
3,28,Plant2,0,0,NA
3,28,Plant3,4,3,84
3,28,Plant4,2,2,50
3,28,Plant5,NA,NA,10
3,12,Plant1,1,1,63
3,12,Plant2,1,0,47
3,12,Plant3,1,1,73
3,12,Plant4,1,1,69
3,12,Plant5,1,1,46
3,39,Plant1,0,0,NA
3,39,Plant2,0,0,NA
3,39,Plant3,1,1,59
3,39,Plant4,0,0,NA
3,39,Plant5,0,0,NA
3,42,Plant1,0,0,NA
3,42,Plant2,0,0,NA
3,42,Plant3,0,1,64
3,42,Plant4,0,0,69
3,42,Plant5,0,0,NA
3,4,Plant1,0,0,40
3,4,Plant2,0,0,61
3,4,Plant3,0,0,NA
3,4,Plant4,0,0,55
3,4,Plant5,0,0,30
3,15,Plant1,0,0,NA
3,15,Plant2,1,1,51
3,15,Plant3,1,1,61
3,15,Plant4,0,0,NA
3,15,Plant5,0,0,NA
3,10,Plant1,1,1,51
3,10,Plant2,0,0,NA
3,10,Plant3,0,0,27
3,10,Plant4,2,2,79
3,10,Plant5,0,0,24
3,41,Plant1,0,0,62
3,41,Plant2,0,0,63
3,41,Plant3,0,0,61
3,41,Plant4,0,0,45
3,41,Plant5,0,0,61
3,9,Plant1,3,3,68
3,9,Plant2,3,2,60
3,9,Plant3,4,3,64
3,9,Plant4,4,4,70
3,9,Plant5,5,4,51
3,22,Plant1,0,0,NA
3,22,Plant2,0,0,57
3,22,Plant3,0,0,NA
3,22,Plant4,0,0,NA
3,22,Plant5,0,1,46
3,40,Plant1,0,0,NA
3,40,Plant2,1,0,56
3,40,Plant3,0,0,NA
3,40,Plant4,0,0,NA
3,40,Plant5,0,1,62
3,19,Plant1,0,0,NA
3,19,Plant2,0,0,NA
3,19,Plant3,0,0,NA
3,19,Plant4,2,1,64
3,19,Plant5,0,0,NA
3,36,Plant1,1,0,49
3,36,Plant2,0,0,NA
3,36,Plant3,0,0,NA
3,36,Plant4,0,0,56
3,36,Plant5,0,0,50
3,32,Plant1,0,0,61
3,32,Plant2,0,0,52
3,32,Plant3,0,0,68
3,32,Plant4,0,0,64
3,32,Plant5,0,0,NA
3,3,Plant1,0,0,NA
3,3,Plant2,0,0,NA
3,3,Plant3,0,0,30
3,3,Plant4,0,0,30
3,3,Plant5,0,0,38
3,30,Plant1,0,0,NA
3,30,Plant2,0,0,NA
3,30,Plant3,1,2,38
3,30,Plant4,0,1,36
3,30,Plant5,2,2,49
3,27,Plant1,0,0,NA
3,27,Plant2,0,0,NA
3,27,Plant3,3,2,58
3,27,Plant4,0,0,NA
3,27,Plant5,3,3,66
3,11,Plant1,1,1,59
3,11,Plant2,1,1,59
3,11,Plant3,1,0,53
3,11,Plant4,0,0,50
3,11,Plant5,0,1,60
3,26,Plant1,1,1,58
3,26,Plant2,1,1,57
3,26,Plant3,0,0,NA
3,26,Plant4,0,0,NA
3,26,Plant5,2,1,60
3,17,Plant1,1,1,73
3,17,Plant2,1,1,67
3,17,Plant3,1,1,60
3,17,Plant4,0,0,56
3,17,Plant5,0,0,49
3,16,Plant1,1,1,52
3,16,Plant2,0,0,NA
3,16,Plant3,1,1,60
3,16,Plant4,0,0,NA
3,16,Plant5,0,0,NA
3,5,Plant1,0,0,42
3,5,Plant2,0,0,36
3,5,Plant3,0,0,28
3,5,Plant4,0,0,NA
3,5,Plant5,0,0,NA
3,20,Plant1,3,0,66
3,20,Plant2,1,1,56
3,20,Plant3,1,1,61
3,20,Plant4,1,1,78
3,20,Plant5,0,0,NA
3,8,Plant1,1,1,57
3,8,Plant2,0,0,NA
3,8,Plant3,0,0,NA
3,8,Plant4,0,0,15
3,8,Plant5,0,0,NA
3,35,Plant1,1,1,77
3,35,Plant2,0,0,NA
3,35,Plant3,2,1,70
3,35,Plant4,0,0,NA
3,35,Plant5,0,0,NA
4,36,Plant1,0,0,NA
4,36,Plant2,0,0,NA
4,36,Plant3,0,0,NA
4,36,Plant4,2,1,55
4,36,Plant5,1,1,52
4,1,Plant1,0,0,51
4,1,Plant2,0,0,NA
4,1,Plant3,NA,NA,8
4,1,Plant4,0,0,NA
4,1,Plant5,0,0,NA
3,33,Plant1,1,1,55
3,33,Plant2,0,0,NA
3,33,Plant3,0,0,NA
3,33,Plant4,0,0,NA
3,33,Plant5,0,0,NA
3,7,Plant1,0,0,17
3,7,Plant2,0,0,47
3,7,Plant3,1,0,54
3,7,Plant4,0,0,NA
3,7,Plant5,0,0,NA
3,18,Plant1,3,3,69
3,18,Plant2,4,4,70
3,18,Plant3,3,2,85
3,18,Plant4,2,1,53
3,18,Plant5,2,1,60
3,25,Plant1,0,0,NA
3,25,Plant2,2,1,75
3,25,Plant3,2,1,71
3,25,Plant4,0,0,NA
3,25,Plant5,2,1,28
3,29,Plant1,2,1,62
3,29,Plant2,0,0,NA
3,29,Plant3,0,0,NA
3,29,Plant4,0,0,NA
3,29,Plant5,0,0,NA
3,24,Plant1,0,0,NA
3,24,Plant2,0,0,NA
3,24,Plant3,1,1,48
3,24,Plant4,2,1,69
3,24,Plant5,1,1,29
4,20,Plant1,0,0,NA
4,20,Plant2,0,0,36
4,20,Plant3,0,0,NA
4,20,Plant4,0,0,NA
4,20,Plant5,1,1,52
4,39,Plant1,0,0,NA
4,39,Plant2,0,0,NA
4,39,Plant3,0,0,NA
4,39,Plant4,0,0,NA
4,39,Plant5,0,0,37
4,13,Plant1,0,0,43
4,13,Plant2,0,0,54
4,13,Plant3,0,0,49
4,13,Plant4,1,1,58
4,13,Plant5,0,0,18
4,10,Plant1,2,0,57
4,10,Plant2,3,1,78
4,10,Plant3,NA,NA,NA
4,10,Plant4,3,2,69
4,10,Plant5,0,0,NA
4,2,Plant1,0,0,62
4,2,Plant2,0,0,64
4,2,Plant3,0,0,65
4,2,Plant4,0,0,59
4,2,Plant5,0,0,62
4,25,Plant1,0,0,37
4,25,Plant2,0,0,NA
4,25,Plant3,0,0,NA
4,25,Plant4,0,0,34
4,25,Plant5,0,0,22
4,21,Plant1,1,0,85
4,21,Plant2,1,0,44
4,21,Plant3,0,0,NA
4,21,Plant4,0,0,NA
4,21,Plant5,0,0,NA
4,42,Plant1,1,0,75
4,42,Plant2,0,0,NA
4,42,Plant3,0,0,NA
4,42,Plant4,0,0,NA
4,42,Plant5,0,0,NA
4,16,Plant1,1,0,59
4,16,Plant2,1,1,66
