NA,NA,NA,no_plant,no_survival,no_survival,no_survival,no_survival,no_survival,,no_survival,,no_survival,no_survival,no_survival,no_survival,no_survival,no_survival
Plot,Rep,Entry,6/12/12,6/27/12,7/27/12,8/24/12,9/29/12,10/27/12,%surviorship,4/27/13,%winterkill,5/31/13,6/29/13,8/30/13,5/1/14,6/5/14,8/12/14
137,3,27,10,10,10,9,9,9,0.9,9,0,9,9,9,8,8,7
138,3,4,10,10,10,10,10,9,0.9,9,0,9,9,8,6,6,6
139,3,9,10,10,9,9,9,9,0.9,9,0,8,8,8,3,2,2
140,3,20,10,10,8,8,8,8,0.8,8,0,8,8,7,1,1,1
141,4,26,10,10,8,6,4,2,0.2,2,0,2,2,1,2,2,1
142,4,11,10,10,7,7,7,7,0.7,5,0.29,4,4,3,1,NA,NA
143,4,36,10,8,6,6,6,6,0.6,6,0,6,6,5,3,3,3
144,4,8,10,8,5,5,5,5,0.5,3,0.4,2,2,2,NA,NA,NA
145,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3
146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
147,1,37,10,9,8,8,8,8,0.8,8,0,8,7,7,7,7,6
148,1,1,10,8,7,7,7,1,0.1,0,1,0,0,NA,NA,NA,NA
149,7,28,10,10,9,9,9,9,0.9,9,0,9,9,9,9,9,9
150,7,8,10,10,10,10,10,10,1,10,0,10,10,6,3,2,2
151,2,10,10,9,9,9,9,9,0.9,9,0,9,9,9,9,9,9
152,2,23,10,10,10,10,10,10,1,10,0,10,10,7,2,2,2
153,6,29,10,10,10,10,9,9,0.9,7,0.22,7,7,5,5,5,4
154,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3
155,3,31,10,9,7,7,7,6,0.6,6,0,6,6,6,6,6,6
156,3,3,10,10,8,6,4,3,0.3,3,0,3,1,1,NA,NA,NA
157,5,15,10,7,6,6,6,6,0.6,3,0.5,3,3,3,NA,NA,NA
158,5,20,10,10,8,8,8,8,0.8,6,0.25,6,5,6,2,2,2
159,4,2,10,10,10,10,10,10,1,10,0,10,10,10,10,10,10
160,4,19,10,10,10,10,9,9,0.9,7,0.22,6,6,5,1,NA,NA
161,8,19,10,10,9,9,8,8,0.8,8,0,8,7,5,1,1,1
162,8,33,10,10,10,10,10,10,1,9,0.1,7,7,6,NA,NA,1
163,8,9,10,9,7,7,7,7,0.7,7,0,7,7,7,6,6,6
164,8,38,10,7,7,7,7,6,0.6,6,0,6,6,6,6,6,6
165,7,35,10,10,10,10,10,10,1,10,0,3,3,3,3,3,2
166,7,2,10,10,10,10,10,10,1,10,0,10,10,10,10,10,9
167,7,22,10,10,9,9,9,9,0.9,9,0,9,9,9,8,8,7
168,7,4,10,10,10,10,9,9,0.9,9,0,9,9,7,7,6,6
169,6,38,10,10,7,7,6,5,0.5,6,-0.2,6,6,6,5,5,5
170,6,24,5,5,5,5,5,5,1,7,-0.4,5,5,7,2,1,NA
171,6,20,10,10,8,8,8,8,0.8,7,0.13,7,7,7,1,1,1
172,6,8,10,10,9,9,9,9,0.9,9,0,9,9,8,4,3,3
173,5,27,10,10,9,8,8,8,0.8,7,0.13,7,7,7,5,5,5
174,5,19,10,8,7,7,7,7,0.7,7,0,7,7,3,NA,NA,NA
175,5,30,10,10,8,8,8,8,0.8,8,0,8,8,8,6,4,2
176,5,26,10,9,6,5,5,5,0.5,5,0,5,5,3,3,3,3
177,8,29,3,3,3,3,3,3,1,3,0,3,3,3,3,3,3
