NA,NA,NA,2013,2013,2013,2013,2013,2013,2013,no_survival
Plot,Rep,Entry,Capsules,sub_stems,ttl_stems,stemcap_ratio,est_ttl_capsules,av_ht,av_diam,4/27/13
274,8,3,608,8,8,1,608,50.5,55,2
275,8,31,378,20,209,10.45,3950,66,57.13,8
276,8,2,580,20,421,21.05,12209,59,41.78,10
277,7,11,424,20,179,8.95,3795,50.8,36,8
278,7,38,437,20,134,6.7,2928,64.8,72.38,8
279,7,36,573,20,135,6.75,3868,62.8,65.43,7
280,7,9,634,20,125,6.25,3963,69.8,55.17,6
281,6,27,469,20,171,8.55,4010,65.5,63.8,6
282,6,26,711,20,39,1.95,1386,61.33,58.75,4
283,6,15,535,20,137,6.85,3665,67,43.86,7
284,6,16,328,20,179,8.95,2936,65.4,63.67,9
285,5,31,428,20,428,21.4,9159,70,47.25,8
286,5,18,522,20,58,2.9,1514,57.6,40.2,5
287,5,36,556,20,252,12.6,7006,68.5,45.29,7
288,5,33,328,20,196,9.8,3214,67.67,60,4
289,6,21,276,20,126,6.3,1739,65.5,47.67,3
290,6,13,442,20,155,7.75,3426,62.6,48.71,7
291,6,12,556,20,56,2.8,1557,51,52.2,5
292,6,1,103,3,3,1,103,56,43,3
293,5,24,496,20,56,2.8,1389,72,60.25,5
294,5,3,195,12,12,1,195,45,32,2
295,5,28,1086,20,374,18.7,20308,62.8,52,7
296,5,11,319,20,164,8.2,2616,63,54,8
