Unique_ID,Worksheet,Notes,Reference_code,Reference,
111,Density,Damuth Ref: 88,Bunnell 1974,"Bunnell, S. D. & Johnson, D. R., 1974. Physical factors affecting pika density and dispersal. Journal of Mammalogy, 55: 866-869. ",
112,Density,Damuth Ref: 87,Bunnell 1975,"Bunnell, F. L., Maclean, S. F., Jr., & Brown, J., 1975. Barrow, Alaska. In T. Rosswall & O.W. Heal (Eds), Structure and Function of Tundra Ecosystems. Ecological Bulletin (Stockholm), 20: 73-124. ",
113,Density,Damuth Ref: 89,Burckhardt 1961,"Burckhardt, D., Kuster, A. & Schloeth, R., 1961. Recherches suisses sur les ongulks-gibier. La Terre et La Vie, 15: 101-109. ",
114,Density,Damuth Ref: 90,Burgis 1974,"Burgis, M. J., 1974. Revised estimates for the biomass and production of zooplankton in Lake George, Uganda. Freshwater Biology, 4: 535-541. ",
115,Density,Damuth Ref: 91,Burke 1974,"Burke, M. V. & Mann, K. H., 1974. Productivity and production: biomass ratios of bivalve and gastropod populations in an Eastern Canadian estuary. Journal of the Fisheries Research Board of Canada, 31: 167-177. ",
116,Density,Damuth Ref: 92,Burkey 1971,"Burkey, A.J., 1971.Biomass turnover, respiration and interpopulation variation in the stream limpet, Ferrissia riuularis (Say). Ecological Monographs, 41: 235-251. ",
117,Density,Damuth Ref: 93,Burt 1964,"Burt, W. M. & Grossenheider, R. P., 1964. A Field Guide to the Mammals, 2nd edition. Boston: Houghton Mifflin. ",
118,Density,Damuth Ref: 94,Burton 1975,"Burton, T. M. & Likens, G. E., 1975. Salamander populations and biomass in the Hubbard Brook Experimental Forest, New Hampshire. Copeia, 75: 541-546. ",
119,Density,Damuth Ref: 95,Buss 1966,"Buss, I. O. & Savidge, J. M., 1966. Change in population number and reproductive rate of elephants in Uganda. Journal of Wildlife Management, 30: 791-809. ",
120,Density,Damuth Ref: 96,Cabon-Raczynska 1974,"Cabon-Raczynska, K., 1974. Variability of the body weight of European hares. Acta Theriologica, 19: 69-80. ",
121,Density,Damuth Ref: 97,Calaby 1974,"Calaby, J. H. & Kieth, K., 1974. Mammals. In H. J. Frith & J. H. Calaby (Eds), Fauna Survey of the Port Essington District, Coburg Peninsula, Northern Territory of Australia. CSIRO Division of Wildlife Research Technical Paper, 28: 179-208.",
122,Density,Damuth Ref: 98,Camenzind 1978,"Camenzind, F. J., 1978. Behavioral ecology of coyotes on the National Elk Refuge, Jackson, Wyoming. In M. Bekoff (Ed.), Coyotes: Biology, Behavior, and Management: 267-294. New York: Academic Press.",
123,Density,Damuth Ref: 99,Carl 1971,"Carl, E. A., 1971. Population control in Arctic ground squirrels. Ecology, 52: 395-413. ",
124,Density,Damuth Ref: 100,Carroll 1977,"Carroll, B. K. & Brown, D. L., 1977. Factors affecting neonatal faun survival in south-central Texas. Journal of Wildlife Management, 41: 63-69. ",
125,Density,Damuth Ref: 101,Carstairs 1976,"Carstairs, J.L., 1976. Population dynamics and movements of Rattus uillosissimus (Waite) during the 1966-1969 plague at Brunette Downs, N.T. Australian Journal of Wildlife Research, 3: 1-9. ",
126,Density,Damuth Ref: 103,Caughley 1975,"Caughley, G. & Goddard, J., 1975. Abundance and distribution of elephants in the Luangwa Valley, Zambia. East African Wildlife Journal, 13: 39-48. ",
127,Density,Damuth Ref: 104,Caughley 1977,"Caughley, G., Sinclair, R. G. & Wilson, G. R., 1977. Numbers, distribution and harvesting rate of kangaroos on the inland plains of New South Wales. Australian Wildlife Research, 4: 99-108. ",
128,Density,Damuth Ref: 105,Chadwick 1976,"Chadwick, E. M. P., 1976. Ecological fish production in a small Precambrian shield lake. Environmental Biology of Fishes. 1: 13-60, ",
129,Density,Damuth Ref: 106,Chalmers 1968,"Chalmers, N. R., 1968. Group composition, ecology, and daily activities of free living mangabeys in Uganda. Folia Primatologica, 8: 247-262.",
130,Density,Damuth Ref: 107,Charles 1977,"Charles, W. N., McGowan, D. & East, K., 1977. Selection of upland swards by red deer (Cervus elaphus L.) on Rhum. Journal of Applied Ecology, 14: 55-64.",
131,Density,Damuth Ref: 111,Charles-Dominique 1971,"Charles-Dominique, P. & Hladik, C. M., 1971.Le Lepilemur du sud de Madagascar: écologie, alimentation et vie sociale. La Terre et La Vie, 25: 3-66.",
132,Density,Damuth Ref: 108,Charles-Dominique 1974,"Charles-Dominique, P., 1974. Vie sociale de Perodicticus potto (Primates, Lorisides). Étude de terrain en forêt équatoriale de l’ouest africain au Gabon. Mammalia, 38:355-379.",
133,Density,Damuth Ref: 109,Charles-Dominique 1977,"Charles-Dominique, P., 1977. Ecology and Behaviour of Nocturnal Primates: Prosimians of Equatorial West Africa. R. D. Martin (trans.). London: Duckworth.",
134,Density,Damuth Ref: 110,Charles-Dominique 1981,"Charles-Dominique, P., Aramentowicz, M., Charles-Dominique, M., Gerard, H., Hladik, A., Hladik, C. M. & Prevost, M. F., 1981. Les mammiferes frugivores arboricoles nocturnes d’une forêt Guyanaise: inter-relations plantes-animaux. La Terre et La Vie, 35: 341-435.",
135,Density,Damuth Ref: 112,Cheeseman 1979,"Cheeseman, C. L. & Delany, M.J., 1979.The population dynamics of small rodents in a tropical African grassland. Journal of Zoology (London), 188: 451-475.",
136,Density,Damuth Ref: 113,Chelkowska 1966,"Chelkowska, H. & Ryszkowski, L., 1966. Relationship between the size of the sampling area and the average time of residency and the abundance of Clethrionomys glareolus Schreb., Apodemus agrarius Pall., and Apodemus flavicollis (Melch.). Bulletin de l’Academie Polonaise des Sciences, série Biologique, 14: 117-121.",
137,Density,Damuth Ref: 114,Chew 1964,"Chew, R. M. & Butterworth, B. B., 1964. Ecology of rodents in Indian Cove (Mojave Desert), Joshua Tree National Monument, California. Journal of Mammalogy, 45: 203-225.",
138,Density,Damuth Ref: 115,Chew 1970,"Chew, R. M. & Chew, A. E., 1970. Energy relationships of the mammals of a desert shrub (Larrea tridentata) community. Ecological Monographs, 40: 1-21.",
139,Density,Damuth Ref: 116,Child 1974,"Child, G. S., 1974. An ecological survey of the Borgu Game Reserve, Nigeria. Kainji Lake Research Project, Technical Report, 4, (FAO, Rome): 1-130.",
140,Density,Damuth Ref: 117,Chivers 1974,"Chivers, D. J., 1974. The siamang in Malaya: afield study of a primate in a tropical forest. Contributions to Primatology, 5. Basel: Karger.",
141,Density,Damuth Ref: 118,Choate 1975,"Choate, J. R. & Fleharty, E. D., 1975. Synopsis of native, Recent mammals of Ellis County, Kansas. Museum of Texas Tech University, Occasional Papers, 37: 1-80.",
142,Density,Damuth Ref: 119,Christian 1979,"Christian, D. P., 1979. Comparative demography of three Namib Desert rodents: responses to the provision of supplementary water. Journal of Mammalogy, 60: 679-690.",
143,Density,Damuth Ref: 120,Christopher 1973,"Christopher, E. A., 1973. Sympatric relationships of the kangaroo rats, Dipodomys merriami and Dipodomys agilis. Journal of Mammalogy, 54: 317-326.",
144,Density,Damuth Ref: 122,Clark 1972,"Clark, F. W., 1972. Influence of jackrabbit density on coyote population change. Journal of Wildlife Management, 36: 343-356.",
145,Density,Damuth Ref: 121,Clark 1980,"Clark, D. B., 1980. Population ecology of an endemic neotropical island rodent: Oryzomys baueri of Santa Fe Island, Galapagos, Ecuador. Journal of Animal Ecology, 49: 185-198.",
146,Density,Damuth Ref: 123,Clutton-Brock 1977,"Clutton-Brock, T. H. & Harvey, P. H., 1977a. Primate ecology and social organization. Journal of Zoology (London), 183: 1-39. ",
147,Density,Damuth Ref: 124,Clutton-Brock 1977,"Clutton-Brock, T. H. & Harvey, P. H., 1977b. Species differences in feeding and ranging behaviour in primates. I n T.H. Clutton-Brock (Ed.), Primate Ecology: Studies of Feeding and Ranging Behaviour in Lemurs, Monkeys, and Apes: 557-584. London: Academic Press.",
148,Density,Damuth Ref: 125,Coe 1972,"Coe, M. J. & Foster, J. B., 1972. The mammals of the northern slopes of Mt. Kenya. Journal of the East African Natural History Society, 131: 1-18.",
