Unique_ID,Worksheet,Notes,Reference_code,Reference,
2304,Metabolism,Terrestrial Invertebrates,Phillipson 1976,"Phillipson, J. & Bolton, P.J., 1976. The respiratory metabolism of selected Lumbricidae. Oecologia, 22(2), 135_152. ",
2305,Metabolism,Terrestrial Invertebrates,Phillipson 1983,"Phillipson, J., 1983. Life cycle, numbers, biomass and respiratory metabolism of Trichoniscus pusillus (Crustacea, Isopoda) in a beech woodland, Wytham Woods, Oxford. Oecologia, 57(3), 339_343. ",
2306,Metabolism,Terrestrial Invertebrates,Prestwich 1977,"Prestwich, K., 1977. The energetics of web_building in spiders. Comp. Biochem. Physiol. A: Physiol. 57(3), 321_326. ",
2307,Metabolism,Terrestrial Invertebrates,Quinlan 1993,"Quinlan, M.C. & Hadley, N.F., 1993. Gas Exchange, Ventilatory Patterns, and Water Loss in Two Lubber Grasshoppers: Quantifying Cuticular and Respiratory Transpiration. Physiol. Zool., 66(4), 628_642. ",
2308,Metabolism,Terrestrial Invertebrates,Quinlan 1999,"Quinlan, M.C.[. & Lighton, J.R.B.[., 1999. Respiratory physiology and water relations of three species of Pogonomyrmex harvester ants (Hymenoptera: Formicidae). Physiol. Entomol., 24, 293_302. ",
2309,Metabolism,Terrestrial Invertebrates,Rajagopal 1966,"Rajagopal, P. & Bursell, E., 1966. The respiratory metabolism of resting tsetse flies. J. Insect Physiol., 12(3), 287_297. ",
2310,Metabolism,Terrestrial Invertebrates,Reichle 1968,"Reichle, D., 1968. Relation of Body Size to Food Intake, Oxygen Consumption, and Trace Element Metabolism in Forest Floor Arthropods. Ecology, 49(3), 538_542.",
2311,Metabolism,Terrestrial Invertebrates,Ruppel 1953,"Ruppel, H., 1953. Physiologische Untersuchungen über die Bedeutung des Ventraltubus und die Atmung der Collembolen. Zool. Jahrb. Abt. Allg. Zool. Physiol. Tiere, 64, 429–598.",
2312,Metabolism,Terrestrial Invertebrates,Saito 1969,"Saito, S., 1969. Energetics of isopod populations in a forest of central Japan. Res. Popul. Ecol., 11(2), 229_258.",
2313,Metabolism,Terrestrial Invertebrates,Schmitz 19_5,"Schmitz, A., 2004. Metabolic rates during rest and activity in differently tracheated spiders (Arachnida, Araneae): Pardosa lugubris (Lycosidae) and Marpissa muscosa (Salticidae). J. Comp. Physiol. B. Biochem. Syst. Envir. Physiol., 174(7): 519_526",
2314,Metabolism,Terrestrial Invertebrates,Schmitz 2001,"Schmitz, A. & Perry, S.F., 2001. Bimodal breathing in jumping spiders: morphometric partitioning of the lungs and tracheae in Salticus scenicus (Arachnida, Araneae, Salticidae). J. Exp. Biol., 204(24), 4321_4334.",
2315,Metabolism,Terrestrial Invertebrates,Scholander 1953,"Scholander, P.F. et al., 1953. Climatic Adaptation in Arctic and Tropical Poikilotherms. Physiol. Zool., 26(1), 67_92.",
2316,Metabolism,Terrestrial Invertebrates,Schultz 1992,"Schultz, T.D., Quinlan, M.C. & Hadley, N.F., 1992. Preferred Body Temperature, Metabolic Physiology, and Water Balance of Adult Cicindela longilabris: A Comparison of Populations from Boreal Habitats and Climatic Refugia. Physiol. Zool., 65(1), 226_242.",
2317,Metabolism,Terrestrial Invertebrates,Shelton 2001,"Shelton, T.G. & Appel, A.G., 2001. Carbon dioxide release in Coptotermes formosanus Shiraki and Reticulitermes flavipes (Kollar): effects of caste, mass, and movement. J. Insect Physiol., 47(3), 213_224.",
2318,Metabolism,Terrestrial Invertebrates,Sibul 2004,"Sibul, I., Kuusik, A. & Voolma, K., 2004. Monitoring of gas exchange cycles and ventilatory movements in the pine weevil Hylobius abietis: respiratory failures evoked by a botanical insecticide. Entomol. Exp. Appli., 110, 173_179.",
2319,Metabolism,Terrestrial Invertebrates,Slater 1927,"Slater, W.K., 1927. The aerobic and anaerobic metabolism of the common cockroach (Periplaneta orientalis). Biochem. J. 21, 198_203.",
2320,Metabolism,Terrestrial Invertebrates,Sømme 1989,"Sømme, L. et al., 1989. Respiratory metabolism of Hydromedion sparsutum and Perimylops antarcticus (Col., Perimylopidae) from South Georgia. Polar Biol., 10(2).",
2321,Metabolism,Terrestrial Invertebrates,Stamou 1986,"Stamou, G.P., 1986. Respiration of Achipteria holomonensis (Acari: Cryptostigmata). Oikos, 46(2), 176_184.",
2322,Metabolism,Terrestrial Invertebrates,Stamou 1995,"Stamou, G.P. et al., 1995. Respiratory responses of oribatid mites to temperature changes. J. Insect Physiol., 41(3), 229_233.",
2323,Metabolism,Terrestrial Invertebrates,Stevens 1977,"Stevens, E.D. & Josephson, R.K., 1977. Metabolic Rate and Body Temperature in Singing Katydids. Physiol. Zool., 50(1), 31_42.",
2324,Metabolism,Terrestrial Invertebrates,Strømme 1986,"Strømme, J.A., Ngari, T.W. & Zachariassen, K.E., 1986. Physiological adaptations in Coleoptera on Spitsbergen. Polar Res., 4(2), 199_204.",
2325,Metabolism,Terrestrial Invertebrates,Terblanche 2004,"Terblanche, J.S., Klok, C.J. & Chown, S.L., 2004. Metabolic rate variation in Glossina pallidipes (Diptera: Glossinidae): gender, ageing and repeatability. J. Insect Physiol., 50(5), 419_428.",
2326,Metabolism,Terrestrial Invertebrates,Testerink 1983,"Testerink, G.J., 1983. Metabolic Adaptations to Seasonal Changes in Humidity and Temperature in Litter_Inhabiting Collembola. Oikos, 40(2), 234_240.",
2327,Metabolism,Terrestrial Invertebrates,Thomas 1979,"Thomas, J.O.M., 1979. Energy Budget for a Woodland Population of Oribatid Mites. Pedobiologia, 19(5), 346_378.",
2328,Metabolism,Terrestrial Invertebrates,Thurling 1980,"Thurling, D.J., 1980. Metabolic rate and life stage of the mites Tetranychus cinnabarinus boisd. (Prostigmata) and Phytoseiulus persimilis A_H. (Mesostigmata). Oecologia, 46(3), 391_396.",
2329,Metabolism,Terrestrial Invertebrates,Tombes 1964,"Tombes, A.S., 1964. Respiratory and compositional study on the aestivating insect, Hypera postica (Gyll.) (Curculionidae). J. Insect Physiol., 10(6), 997_1003.",
2330,Metabolism,Terrestrial Invertebrates,Vogt 1999,"Vogt, J.T. & Appel, A.G., 1999. Standard metabolic rate of the fire ant, Solenopsis invicta Buren: effects of temperature, mass, and caste. J. Insect Physiol., 45(7), 655_666.",
2331,Metabolism,Terrestrial Invertebrates,Webb 1969,"Webb, N.R., 1969. The Respiratory Metabolism of Nothrus silvestris Nicolet (Acari). Oikos, 20(2), 294_299. ",
2332,Metabolism,Terrestrial Invertebrates,Webb 1970,"Webb, N.R., 1970. Oxygen consumption and population metabolism of some mesostigmated mites (Acari: Mesostigmata). Pedobiologia, 10, 447_456. ",
2333,Metabolism,Terrestrial Invertebrates,Webb 1972,"Webb, N.R. & Elmes, G.W., 1972. Energy Budget for Adult Steganacarus Magnus (Acari). Oikos, 23(3), 359_365. ",
2334,Metabolism,Terrestrial Invertebrates,Webb 1975,"Webb, N.R., 1975. Respiratory Metabolism of Steganacarus magnus (Acari). Oikos, 26(1), 43_46. ",
2335,Metabolism,Terrestrial Invertebrates,West 1997,"West, G.B., Brown, J.H. & Enquist, B.J., 1997. A general model for the origin of allometric scaling laws in biology. Science, 276(5309), 122_126. ",
2336,Metabolism,Terrestrial Invertebrates,Wiegert 1964,"Wiegert, R.G., 1964. Population Energetics of Meadow Spittlebugs (Philaenus spumarius L.) as Affected by Migration and Habitat. Ecol. Monogr.s, 34(3), 218_241. ",
2337,Metabolism,Terrestrial Invertebrates,Wieser 1965,"Wieser, W., 1965. Untersuchungen über die Ernährung und denn Gesamtstoffwechsel von Porcellio scaber (Crustacea: Isopoda). Pedobiologia, 5, 304–331. ",
2338,Metabolism,Terrestrial Invertebrates,Wood 1973,"Wood, T.G. & Lawton, J.H., 1973. Experimental studies on the respiratory rates of mites (Acari) from beech_woodland leaf litter. Oecologia, 12(2), 169_191. ",
2339,Metabolism,Terrestrial Invertebrates,Young 1979,"Young, S.R., 1979. Effect of temperature change on the metabolic rate of an antarctic mite. J. Comp. Physiol. B, 131(4), 341_346. ",
2340,Metabolism,Terrestrial Invertebrates,Zachariassen 1987,"Zachariassen, K.E. et al., 1987. Transpiratory water loss and metabolism of beetles from arid areas in East Africa. Comp. Biochem. Physiol. A: Physiol., 86(3), 403_408. ",
2341,Metabolism,Terrestrial Invertebrates,Zachariassen 1988,"Zachariassen, K.E. et al., 1988. Water loss in insects from arid and humid habitats in East Africa. Acta Entomologica Bohemoslovaca 85, 81_93 (1988). Acta Entomol. Bohemoslovaca, 85, 81_93. ",
2342,Metabolism,Terrestrial Invertebrates,Zettel 1982,"Zettel, J., 1982. Dietary influence on the biology and metabolism of Isotoma viridis (Collembola). J. Insect Physiol., 28(5), 453_458.",
2343,Metabolism,Terrestrial Invertebrates,Zinkler 1966,"Zinkler, D., 1966. Vergleichende Untersuchungen zur Atmungsphysiologie von Collembolen",
2344,Metabolism,Various,Makarieva 2008,"Makarieva, A. M., V. G. Gorshkov, B. Li, S. L. Chown, P. B. Reich, and V. M. Gavrilov. 2008. Mean mass-specific metabolic rates are strikingly similar across life’s major domains: Evidence for life’s metabolic optimum. Proceedings of the National Academy of Sciences 105:16994–16999.",
2345,Mortality,Bird,Dunning 1993,Dunning JB (1993) CRC Handbook of Avian Body Masses. Boca Raton: CRC Press.,
2346,Mortality,Fish,Andrews 1999,"Andrews AH, Cailliet GM, Coale KH (1999) Age and growth of the Pacific grenadier (Coryphaenoides acrolepis) with age estimate validation using an improved radiometric ageing technique. Canadian Journal of Fisheries and Aquatic Sciences 56(8): 1339-1350.",
2347,Mortality,Fish,Cailliet 2001,"Cailliet GM, Andrews AH, Burton EJ, Watters DL, Kline DE et al. (2001) Age determination and validation studies of marine fishes: do deep-dwellers live longer? Experimental Gerontology 36(4-6): 739-764.",
2348,Mortality,Fish,Childress 1980,"Childress JJ, Taylor SM, Cailliet GM, Price MH (1980) Patterns of growth, energy utilization and reproduction in some meso-and bathypelagic fishes off Southern California. Marine Biology 61(1): 27-40.",
2349,Mortality,Fish,Kelly 1997,"Kelly CJ, Connolly PL, Bracken JJ (1997) Age estimation, growth, maturity and distribution of the roundnose grenadier from the Rockall trough. Journal of Fish Biology 50(1): 1-17.",
2350,Mortality,Fish,McGurk 1986,"McGurk, M. D. 1986. Natural mortality of marine pelagic fish eggs and larvae: role of spatial patchiness. Marine ecology progress series:227–242.",
2351,Mortality,Fish,Orr 1998,"Orr JW, Brown MA, Baker DC, Alaska Fisheries Science C (1998) Guide to Rockfishes (Scorpaenidae) of the Genera Sebastes, Sebastolobus, and Adelosebastes of the Northeast Pacific Ocean: Available through National Technical Information Service.",
2352,Mortality,Fish,Pauly 1980,"Pauly D (1980) On the interrelationships between natural mortality, growth parameters, and mean environmental temperature in 175 fish stocks. ICES Journal of Marine Science 39(2): 175-192.",
2353,Mortality,Fish,Smith 1995,"Smith DC, Fenton GE, Robertson SG, Short SA (1995) Age determination and growth of orange roughy (Hoplostethus atlanticus): a comparison of annulus counts with radiometric ageing. Canadian Journal of Fisheries and Aquatic Sciences 52(2): 391-401.",
2354,Mortality,Invertebrate,Bergquist 2000,"Bergquist DC, Williams FM, Fisher CR (2000) Longevity record for a deep-sea invertebrate. Nature 403: 499-500.",
2355,Mortality,Invertebrate,Brey 2001,Brey T (2001) Population dynamics in benthic invertebrates. Available: http://www.awi-bremerhaven.de/Benthic/Ecosystem/FoodWeb/Handbook/main.html.,
2356,Mortality,Invertebrate,Fisher 1997,"Fisher CR, Urcuyo IA, Simpkins MA, Nix E (1997) Life in the slow lane: Growth and longevity of cold-seep vestimentiferans. Marine ecology 18(1): 83-94.",
2357,Mortality,Invertebrate,Gage 1986,"Gage JD, Tyler PA, Nichols D (1986) Reproduction and growth of Echinus acutus var. norvegicus Dueben and Koren and E. elegans Dueben and Koren on the continental slope off Scotland. Journal of Experimental Marine Biology and Ecology 101(1): 61-83.",
2358,Mortality,Invertebrate,Gage 2003,Gage JD (2003) Growth and production of Ophiocten gracilis (Ophiuroidea: Echinodermata) on the Scottish continental slope. Marine Biology 143(1): 85-97.,
2359,Mortality,Invertebrate,Gooday 1993,"Gooday AJ, Bett BJ, Pratt DN (1993) Direct observation of episodic growth in an abyssal xenophyophore (Protista). Deep-sea research Part 1 Oceanographic research papers 40(11-12): 2131-2143.",
2360,Mortality,Invertebrate,Hissmann 1998,"Hissmann K, Fricke H, Schauer J (1998) Population Monitoring of the Coelacanth(Latimeria chalumnae). Conservation Biology 12(4): 759-765.",
2361,Mortality,Invertebrate,Mauchline 1985,Mauchline J (1985) Growth and production of Euphausiacea (Crustacea) in the Rockall Trough. Marine Biology 90(1): 19-26.,
2362,Mortality,Invertebrate,Mauchline 1988,"Mauchline J (1988) Growth and breeding of meso-and bathypelagic organisms of the Rockall Trough, northeastern Atlantic Ocean and evidence of seasonality. Marine Biology 98(3): 387-393.",
2363,Mortality,Invertebrate,Rhoads 1981,"Rhoads DC, Lutz RA, Revelas EC, Cerrato RM (1981) Growth of bivalves at deep-sea hydrothermal vents along the galapagos rift. Science 214(4523): 911-913.",
2364,Mortality,Invertebrate,Turekian 1979,"Turekian KK, Cochran JK, Nozaki Y (1979) Growth rate of a clam from the Galapagos Rise hot spring field using natural radionuclide ratios. Nature 280(5721): 385-387.",
2365,Mortality,Invertebrate,Turekian 1981,"Turekian KK, Cochran JK (1981) Growth Rate of a Vesicomyid Clam from the Galapagos Spreading Center. Science 214(4523): 909-911.",
2366,Mortality,Invertebrate,Turekian 1983,"Turekian KK, Cochran JK, Bennett JT (1983) Growth rate of a vesicomyid clam from the 21° N East Pacific Rise hydrothermal area. Nature 303(5912): 55-56.",
2367,Mortality,Invertebrate,Turner 1984,"Turner RD, Lutz RA (1984) Growth and distribution of mollusks at deep-sea vents and seeps. Oceanus 27(3): 55-62.",
2368,Mortality,Mammal,Smith 2003,"Smith FA, Lyons SK, Ernest SKM, Jones KE, Kaufman DM et al. (2003) Body mass of late quartenary mammals. Ecology 84(12): 3403-3403.",
2369,Mortality,Plant,Marba 2007,"Marba N, Duarte CM, Agusti S (2007) Allometric scaling of Multicellular plant life history. Proceedings of the National Academy of Sciences 104(40): 15777-15780.",
2370,Mortality,Protist,Scheltema 1987,"Scheltema AH (1987) Reproduction and rapid growth in a deep-sea aplacophoran mollusc, Prochaetoderma yongei. Marine Ecology Progress Series 37: 171-180.",
2371,Mortality,Various,Carey 2000,"Carey JR, Judge DS (2000) Longevity Records: Life Spans of Mammals, Birds, Amphibians, Reptiles, and Fish. Odense: Odense University Press. 241 p.",
2372,Mortality,Various,Gillooly 2001,"Gillooly JF, Brown JH, West GB, Savage VM, Charnov EL (2001) Effects of Size and Temperature on Metabolic Rate. Science 293(5538): 2248-2251",
2373,Mortality,Various,McCoy Gillooly 2008,"McCoy, M. W., and J. F. Gillooly. 2008. Predicting natural mortality rates of plants and animals. Ecology letters 11:710–716.",
2374,Mortality,Various,Ricklefs 1998,"Ricklefs RE (1998) Evolutionary theories of aging: Confirmation of a fundamental prediction, with implications for the genetic basis and evolution of life span. American Naturalist 152(1): 24-44.",
2375,Mortality,Various,Stephens 2002,"Stephens C, Antonov JI, Boyer TP, Conkright ME, Locarnini RA et al. (2002) World Ocean Atlas 2001, Volume 1: Temperature. NOAA Atlas NESDIS 49.",
2376,Productivity,Fish,Hutchings 1999,"Hutchings, Jeffrey A., Todd D. Bishop, and Carolyn R. McGregor-Shaw. “Spawning Behaviour of Atlantic Cod, Gadus Morhua: Evidence of Mate Competition and Mate Choice in a Broadcast Spawner.” Canadian Journal of Fisheries and Aquatic Sciences 56.1 (1999): 97–104. Print.",
2377,Productivity,Invertebrate,Allsopp 1981,"Allsopp, P. G. 1981. Development, longevity and fecundity of the false wireworms Pterohelaeus darlingensis and P. alternatus (Coleoptera: Tenebrionidae). I. Effect of constant temperature. Australian Journal of Zoology 29:605–619.",
2378,Productivity,Invertebrate,Asante 1991,"Asante, S. K., W. Danthanarayana, and H. Heatwole. 1991. Bionomics and population growth statistics of apterous virginoparae of woolly apple aphid, Eriosoma lanigerum, at constant temperatures. Entomologia Experimentalis et Applicata 60:261–270.",
2379,Productivity,Invertebrate,Barlow 1962,"Barlow, C. A. 1962. The influence of temperature on the growth of experimental populations of Myzus persicae (Sulzer) and Macrosiphum euphorbiae (Thomas) (Aphididae). Canadian Journal of Zoology 40:145–146.",
2380,Productivity,Invertebrate,Beckett 1994,"Beckett, S. J., and D. E. Evans. 1994. The demography of Oryzaephilus surinamensis (L.) (Coleoptera:Silvanidae) on kibbled wheat. Journal of Stored Products Research 30:121–137.",
2381,Productivity,Invertebrate,Birch 1953,"Birch, L. C. 1953. The influence of temperature, moisture and food on the innate capacity for increase of three grain beetles. Ecology 34:698–711.",
2382,Productivity,Invertebrate,Choi 2002,"Choi, W. I., M. I. Ryoo, and J. G. Kim. 2002. Biology of Paronychiurus kimi (Collembola: Onychiuridae) under the influence of temperature, humidity and nutrition. Pedobiologia 46:548–557.",
2383,Productivity,Invertebrate,Danthanarayana et al. 1995,"Danthanarayana, Wijesiri, Hainan Gu, and Sharon Ashley. “Population-Growth Potential of Epiphyas-Postvittana, the Lightbrown Apple Moth (Lepidoptera, Tortricidae) in Relation to Diet, Temperature and Climate.” Australian journal of zoology 43.4 (1995): 381–394. Print.",
2384,Productivity,Invertebrate,De Vis 2002,"De Vis, R. M. J., L. E. Fuentes, and J. C. van Lenteren. 2002. Life history of Amitus fuscipennis (Hym., Platygastridae) as parasitoid of the greenhouse whitefly Trialeurodes vaporariorum (Hom., Aleyrodidae) on tomato as function of temperature. Journal of Applied Entomology 126:24–33.",
2385,Productivity,Invertebrate,Dreyer 1996,"Dreyer, H., and J. Baumgartner. 1996. Temperature influence on cohort parameters and demographic characteristics of the two cowpea coreids Clavigralla tomentosicollis and C. shadabi. Entomologia Experimentalis et Applicata 78:201–213.",
2386,Productivity,Invertebrate,Dreyer 1997,"Dreyer, B. S., P. Neuenschwander, B. Bouyjou, J. Baumgartner, and S. Dorn. 1997. The influence of temperature on the life table of Hyperaspis notata. Entomologia Experimentalis et Applicata 84:85–92.",
2387,Productivity,Invertebrate,Force 1964,"Force, D. C., and P. S. Messenger. 1964. Fecundity, reproductive rates, and innate capacity for increase of three parasites of Therioaphis maculata (Buckton). Ecology 45:706–715.",
2388,Productivity,Invertebrate,Frazier 2006,"Frazier, M. R., Raymond B. Huey, and David Berrigan. 2006. Thermodynamics Constrains the Evolution of Insect Population Growth Rates: “Warmer Is Better.” The American Naturalist 2006 168:4, 512-520 ",
2389,Productivity,Invertebrate,Giga 1983,"Giga, D. P., and R. H. Smith. 1983. Comparative life history studies of four Callosobruchus species infesting cowpeas with special reference to Callosobruchus rhodesianus (Pic.) (Coleoptera: Bruchidae). Journal of Stored Products Research 19:189–198.",
2390,Productivity,Invertebrate,Gillooly 2000,"Gillooly, James F. “Effect of Body Size and Temperature on Generation Time in Zooplankton.” Journal of Plankton Research 22.2 (2000): 241–251. Print.",
2391,Productivity,Invertebrate,Hann 1985,"Hann, B. J. “Influence of Temperature on Life-History Characteristics of Two Sibling Species of Eurycercus (Cladocera, Chydoridae).” Canadian journal of zoology 63.4 (1985): 891–898. Print.",
2392,Productivity,Invertebrate,Hoddle 2002,"Hoddle, M. S. 2002. Developmental and reproductive biology of Scirtothrips perseae (Thysanoptera: Thripidae): a new avocado pest in California. Bulletin of Entomological Research 92:279–285.",
2393,Productivity,Invertebrate,Hosking 1984,"Hosking, J. R. “The Effect of Temperature on the Population Growth Potential of Dactylopius Austrinus De Lotto (Homoptera: Dactylopiidae), on Opuntia Aurantiaca Lindley.” Australian Journal of Entomology 23.2 (1984): 133–139. Print.",
2394,Productivity,Invertebrate,Hosking 1984,"Hosking, J. R. 1984. The effect of temperature on the population growth potential of Dactylopius austrinus De Lotto (Homoptera: Dactylopiidae), on Opuntia aurantiaca Lindley. Journal of the Australian Entomological Society 23:133–139.",
2395,Productivity,Invertebrate,Howe 1953,"Howe, R. W. 1953. Studies on beetles of the family Ptinidae. VIII. The intrinsic rate of increase of some ptinid beetles. Annals of Applied Biology 40:121–133.",
2396,Productivity,Invertebrate,Howe 1962,"Howe, 1962. The effects of temperature and humidity on the oviposition rate of Tribolium castaneum (Hbst.) (Coleoptera, Tenebrionidae). Bulletin of Entomological Research 53:301–310.",
2397,Productivity,Invertebrate,Hwang 1988,"Hwang, J., F. Hsieh, C. Hung, and Y. Chu. 1988. Life history and the effect of temperature on population growth parameters of Planococcus pacificus on guava. Plant Protection Bulletin 30:157–174.",
2398,Productivity,Invertebrate,Komazaki 1982,"Komazaki, S. 1982. Effects of constant temperatures on population growth of three aphid species, Toxoptera citricidus (Kirkaldy), Aphis citricola van der Goot and Aphis gossypii Glover (Homoptera: Aphididae) on citrus. Applied Entomology and Zoology 17:75–81.",
2399,Productivity,Invertebrate,Korpelainen 1986,"Korpelainen, Helena. “The Effects of Temperature and Photoperiod on Life History Parameters of Daphnia Magna (Crustacea: Cladocera).” Freshwater biology 16.5 (1986): 615–620. Print.",
2400,Productivity,Invertebrate,Liu 1987,"Liu, S., and R. D. Hughes. 1987. The influence of temperature and photoperiod on the development, survival and reproduction of the sowthistle aphid, Hyperomyzus lactucae. Entomologia Experimentalis et Applicata 43:31–38.",
2401,Productivity,Invertebrate,Liu 2000,"Liu, S., X. Wang, Z. Shi, and S. Guo. 2000. Biology of Oomyzus sokolowskii and effect of temperature on its population parameters. Acta Entomologica Sinica 43:159–167.",
2402,Productivity,Invertebrate,Liu 2000,"Liu, Y. H., and J. H. Tsai. 2000. Effects of temperature on biology and life table parameters of the Asian citrus psyllid, Diaphorina citri Kuwayama (Homoptera: Psyllidae). Annals of Applied Biology 137:201–206.",
2403,Productivity,Invertebrate,Longstaff 1983,"Longstaff, B. C., and D. E. Evans. 1983. The demography of the rice weevil, Sitophilus oryzae (L.) (Coleoptera: Curculionidae), submodels of age-specific survivorship and fecundity. Bulletin of Entomological Research 73:333–344.",
2404,Productivity,Invertebrate,Lowry 1992,"Lowry, V. K., J. W. Smith, and F. L. Mitchell. 1992. Life-fertility tables for Frankliniella fusca (Hinds) and F. occidentalis (Pergande) (Thysanoptera: Thripidae) on peanut. Annals of the Entomological Society of America 85:744–754.",
2405,Productivity,Invertebrate,Lysyk 1998,"Lysyk, T. J. 1998. Relationships between temperature and life-history parameters of Stomoxys calcitrans (Diptera: Muscidae). Journal of Medical Entomology 35:107–119.",
2406,Productivity,Invertebrate,Lysyk 1998,"Lysyk, T. J. 1998. Relationships between temperature and life history parameters of Trichomalopsis sarcophagae (Hymenoptera: Pteromalidae). Environmental Entomology 27:488–498.",
2407,Productivity,Invertebrate,Lysyk 2000,"Lysyk, T. J. 2000. Relationships between temperature and life history parameters of Muscidifurax raptor (Hymenoptera: Pteromalidae). Environmental Entomology 29:596–605.",
2408,Productivity,Invertebrate,Lysyk 2001,"Lysyk, T. J. 2001. Relationships between temperature and life history parameters of Muscidifurax raptorellus (Hymenoptera: Pteromalidae). Environmental Entomology 30:982–992.",
2409,Productivity,Invertebrate,Lysyk 2001,"Lysyk, T. J. 2001. Relationships between temperature and life history parameters of Muscidifurax zaraptor (Hymenoptera: Pteromalidae). Environmental Entomology 30:147–156.",
2410,Productivity,Invertebrate,Mbapila 2001,"Mbapila, J. C., and W. A. Overholdt. 2001. Comparative development, longevity and population growth of exotic and native parasitoids of lepidopteran cereal stemborers in Kenya. Bulletin of Entomological Research 91:347–353.",
2411,Productivity,Invertebrate,Morgan 2001,"Morgan, D., K. F. A. Walters, and J. N. Aegerter. 2001. Effect of temperature and cultivar on pea aphid, Acyrthosiphon pisum (Hemiptera: Aphididae) life history. Bulletin of Entomological Research 91:47–52.",
2412,Productivity,Invertebrate,Murai 2000,"Murai, T. 2000. Effect of temperature on development and reproduction of the onion thrips, Thrips tabaci Lindeman (Thysanoptera: Thripidae), on pollen and honey solution. Applied Entomology and Zoology 35:499–504.",
2413,Productivity,Invertebrate,Perdikis 2002,"Perdikis, D. C., and D. P. Lykouressis. 2002. Life table and biological characteristics of Macrolophus pygmaeus when feeding on Myzus persicae and Trialeurodes vaporariorum. Entomologia Experimentalis et Applicata 102:261–272.",
2414,Productivity,Invertebrate,Pratissoli 2000,"Pratissoli, D., and J. R. P. Parra. 2000. Fertility life table of Trichogramma pretiosum (Hym. Trichogrammatidae) in eggs of Tuta absoluta and Phthorimaea operculella (Lep., Gelechiidae) at different temperatures. Journal of Applied Entomology 124:339–342.",
2415,Productivity,Invertebrate,Rae 1991,"Rae, D. J., and G. De’ath. 1991. Influence of constant temperature on development, survival and fecundity of sugarcane mealybug, Saccharicoccus sacchari (Cockerell) (Hemiptera, Pseudococcidae). Australian Journal of Zoology 39:105–122.",
2416,Productivity,Invertebrate,Ren 2002,"Ren, S. X., P. A. Stansly, and T. X. Liu. 2002. Life history of the whitefly predator Nephaspis oculatus (Coleoptera: Coccinellidae) at six constant temperatures. Biological Control 23:262–268.",
2417,Productivity,Invertebrate,Rodriguez-del-Bosque 1989,"Rodriguez-del-Bosque, L. A., J. W. Smith, and H. W. Browning. 1989. Development and life fertility tables for Diatraea lineolata (Lepidoptera: Pyralidae) at constant temperatures. Annals of the Entomological Society of America 82:450–459.",
2418,Productivity,Invertebrate,Roy 2003,"Roy, M., J. Brodeur, and C. Cloutier. 2003. Effect of temperature on intrinsic rates of natural increase (rm) of a coccinellid and its spider mite prey. Biocontrol 48:57–72.",
2419,Productivity,Invertebrate,Sanoamuang 1993,"Sanoamuang, La-Orsri. “The Effect of Temperature on Morphology, Life History and Growth Rate of Filinia Terminalis (Plate) and Filinia Cf. Pejleri Hutchinson in Culture.” Freshwater Biology 30.2 (1993): 257–267. Print.",
2420,Productivity,Invertebrate,Siddiqui 1973,"Siddiqui, W. H., and C. A. Barlow. 1973. Population growth of Anagasta kuehniella (Lepidoptera: Pyralidae) at constant and alternating temperatures. Annals of the Entomological Society of America 66:579–585.",
2421,Productivity,Invertebrate,Singh 1991,"Singh, S. P. 1991. Biometrical observations on sorghum stem borer, Chilo partellus (Swinhoe) under fluctuating and constant temperature conditions. Insect Science and Its Application 12:419–422.",
2422,Productivity,Invertebrate,Smith 1965,"Smith, L. B. 1965. The intrinsic rate of natural increase of Cryptolestes ferrugineus (Stephens) (Coleoptera: Cucujidae). Journal of Stored Products Research 1:35–49.",
2423,Productivity,Invertebrate,Smith 1992,"Smith, Lincoln. “Effect of Temperature on Life History Characteristics of Anisopteromalus Calandrae (Hymenoptera: Pteromalidae) Parasitizing Maize Weevil Larvae in Corn Kernels.” Environmental entomology 21.4 (1992): 877–887. Print.",
2424,Productivity,Invertebrate,Summers 1984,"Summers, C. G., R. L. Coviello, and A. P. Gutierrez. 1984. Influence of constant temperatures on the development and reproduction of Acyrthosiphon kondoi (Homoptera: Aphididae). Environmental Entomology 13:236–242.",
2425,Productivity,Invertebrate,Tsai 1998,"Tsai, J. H., and Y. H. Liu. 1998. Effect of temperature on development, survivorship, and reproduction of rice root aphid (Homoptera: Aphididae). Environmental Entomology 27:662–666.",
2426,Productivity,Invertebrate,Turak 1998,"Turak, E., R. Talent, P. Sunnucks, and D. F. Hales. 1998. Different responses to temperature in three closely-related sympatric cereal aphids. Entomologia Experimentalis et Applicata 86:49–58.",
2427,Productivity,Invertebrate,Van Huis 1994,"Van Huis, A., P. W. Arendse, M. Schilthuizen, P. P. Wiegers, H. Heering, M. Hulshof, and N. K. Kaashoek. 1994. Uscana lariophaga egg parasitoid of bruchid beetle storage pests of cowpea in West Africa: the effect of temperature and humidity. Entomologia Experimentalis et Applicata 70:41–53.",
2428,Productivity,Invertebrate,Vargas 1997,"Vargas, R. I., W. A. Walsh, D. Kanehisa, E. B. Jang, and J. W. Armstrong. 1997. Demography of four Hawaiian fruit flies (Diptera: Tephritidae) reared at five constant temperatures. Annals of the Entomological Society of America 90:162–168.",
