species,genus,family,trait_name,trait_value,unit,method,latitude,longitude,elevation_m,source_dataset,source_url,source_record_id,project_pi,retrieved_utc
Leptocereus leonii,Leptocereus,Cactaceae,whole plant woodiness,woody,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.63q27.2,3242593,Zanne AE,2026-03-28 23:42:38 UTC
Opuntia sulphurea,Opuntia,Cactaceae,maximum whole plant height,0.428333333,m,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3248968,Angela Moles,2026-03-28 23:42:38 UTC
Opuntia aurantiaca,Opuntia,Cactaceae,maximum whole plant height,0.5,m,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3248969,Angela Moles,2026-03-28 23:42:38 UTC
Opuntia ficus-indica,Opuntia,Cactaceae,maximum whole plant height,4,m,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3248970,Angela Moles,2026-03-28 23:42:38 UTC
Sclerocactus parviflorus,Sclerocactus,Cactaceae,flower color,Purple,,,,,,BIEN,https://bien.nceas.ucsb.edu/bien/,3250920,,2026-03-28 23:42:38 UTC
Echinopsis spachiana,Echinopsis,Cactaceae,whole plant dispersal syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3265061,Bezeng BS,2026-03-28 23:42:38 UTC
Echinopsis spachiana,Echinopsis,Cactaceae,flower pollination syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3265062,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia engelmannii,Opuntia,Cactaceae,plant flowering begin,10,month,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453839,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia ficus-indica,Opuntia,Cactaceae,whole plant sexual system,Hermaphrodite,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453840,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia ficus-indica,Opuntia,Cactaceae,whole plant dispersal syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453841,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia humifusa,Opuntia,Cactaceae,plant flowering begin,10,month,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453842,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia fragilis,Opuntia,Cactaceae,seed mass,22.36643,mg,"These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.m88g7,3453843,Marx HE,2026-03-28 23:42:38 UTC
Opuntia monacantha,Opuntia,Cactaceae,flower pollination syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453844,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia fragilis,Opuntia,Cactaceae,whole plant height,0.2,m,"These measurements are taken from of a larger dataset assembled by Cornwell. Cornwell, W.K., Westoby, M., Falster, D.S. et al. (2014) Functional distinctiveness of major plant lineages. Journal of Ecology, 102, 345Â356.",,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.m88g7,3453845,Marx HE,2026-03-28 23:42:38 UTC
Opuntia humifusa,Opuntia,Cactaceae,whole plant sexual system,Hermaphrodite,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453846,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia humifusa,Opuntia,Cactaceae,whole plant dispersal syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453847,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia microdasys,Opuntia,Cactaceae,whole plant sexual system,Hermaphrodite,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453849,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia microdasys,Opuntia,Cactaceae,whole plant dispersal syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453851,Bezeng BS,2026-03-28 23:42:38 UTC
Opuntia microdasys,Opuntia,Cactaceae,flower pollination syndrome,biotic,,,,,,BIEN,http://datadryad.org/resource/doi:10.5061/dryad.6t7t6,3453852,Bezeng BS,2026-03-28 23:42:38 UTC
