site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
GX021,19.85853982,1.964969574,0.6547,19.13578333,72.41944122,7.24581851,2.76442582,Shrub community
GX022,15.08966023,1.192607264,0.692675,20.04419167,48.9172287,6.05217153,1.59846323,Shrub community
GX023,10.94911841,0.865630159,0.64275,19.52158333,72.93157959,8.66479943,2.16845663,Shrub community
GX024,9.771727631,0.855913888,0.707075,19.4895,66.54417419,3.37230292,0.95428527,Shrub community
GX025,9.867042988,0.78300945,0.6579,20.493,50.72095108,2.42394386,0.39818647,Shrub community
GX026,12.27305528,1.259769404,0.677425,20.42333333,48.58198929,3.997547,1.01367825,Shrub community
GX027,13.38366225,1.401616995,0.676975,19.44861667,63.7286377,2.22591877,0.68712147,Shrub community
GX028,10.6899726,0.944803981,0.695775,19.67219167,59.26790619,2.07940803,0.70863485,Shrub community
GX029,13.62560184,1.658632358,0.738425,19.796525,56.28957748,4.3990957,1.57548113,Shrub community
GX030,15.6085709,1.446080364,0.7135,18.76528333,79.96785736,4.24834065,1.42265352,Shrub community
GX031,13.56470394,1.398798697,0.584525,18.775175,78.91470337,2.84039055,1.40989221,Shrub community
GZ001,14.1305578,1.009803434,0.22925,7.43593,-33.56865311,1.91138834,0.37986351,Shrub community
GZ002,8.481350595,0.766680373,0.560975,15.29557,47.47648239,4.67785746,0.80765738,Shrub community
GZ003,14.68215243,1.117725858,0.62435,13.62778167,57.47911453,1.82080386,0.34691658,Shrub community
GZ004,14.14607956,1.173537322,0.501725,18.70131583,19.95601273,2.42764967,0.51384082,Shrub community
GZ006,11.99592295,0.770139396,0.462725,14.394815,50.85017776,5.07650498,0.88811398,Shrub community
GZ007,14.76398076,1.051826695,0.59265,12.85955333,51.58507538,2.60438814,0.44547806,Shrub community
GZ008,3.534713049,0.491388172,0.607925,12.13630833,65.55619812,4.63174336,0.95313672,Shrub community
GZ009,14.1297348,0.7501549,0.46725,15.38486667,44.04357147,1.29403874,0.37223725,Shrub community
GZ010,2.828074495,0.275317705,0.7029,18.11672417,30.40015984,9.62200716,1.7882699,Shrub community
GZ011,11.03848036,0.851731473,0.5511,19.237525,27.78583908,2.32885889,0.37605247,Shrub community
GZ012,13.41651741,0.941716848,0.6583,13.7311625,58.72493362,5.15851267,0.76167061,Shrub community
GZ013,15.56674789,1.288145714,0.655575,15.44248417,60.21473312,2.02849868,0.56951338,Shrub community
GZ014,11.12750591,0.83965088,0.599175,19.460475,19.48466873,2.52173993,0.43092956,Shrub community
GZ015,19.13781491,1.468437949,0.660425,17.65363667,48.7988205,1.55633743,0.49717778,Shrub community
GZ016,16.60730007,1.915806092,0.6306,17.08044333,60.86953735,3.54453835,1.56518562,Shrub community
GZ017,17.45730442,1.074004578,0.70075,16.00606333,53.10782623,4.30635028,0.80401206,Shrub community
GZ018,10.88970914,0.658335678,0.71505,14.50794667,52.02087784,4.31501467,1.65716908,Shrub community
GZ019,18.19660033,1.280479945,0.607675,14.29472917,56.1210022,4.39294267,0.82828923,Shrub community
GZ020,25.74845314,1.2370428,0.585025,12.24311167,67.02305603,2.63642842,0.46058559,Shrub community
GZ021,14.07687073,0.850674818,0.5707,13.32570333,55.86305237,3.16013292,0.44167968,Shrub community
GZ022,18.11817748,1.078711265,0.73235,17.57092667,39.88181686,5.25320995,1.16673854,Shrub community
GZ023,5.631413736,0.738824161,0.71,18.32814167,8.903753281,8.93362443,3.18946289,Shrub community
GZ024,12.41102349,0.857290308,0.62155,14.81243333,78.49295044,3.40964197,0.62429802,Shrub community
