"species";"island";"islandgroup";"Native";"Cultivated";"family";"order";"dataset";"Invasive";"Original_name";"reference";"refid";"latitude";"longitude"
"Chloris barbata";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Chloris barbata (L.) Sw.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Chrysopogon aciculatus";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Chrysopogon aciculatus (Retz.) Trin.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Coix lacryma-jobi";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Coix lacryma-jobi L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Cyrtococcum oxyphyllum";"Aunu'u";"Samoa";1;"0";"Poaceae";"Poales";"glonpier";0;"Cyrtococcum oxyphyllum Stapf";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Cyrtococcum trigonum";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Cyrtococcum trigonum (Retz.) A.Camus";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Dactyloctenium aegyptium";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Dactyloctenium aegyptium (L.) Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Digitaria ciliaris";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Digitaria ciliaris (Retz.) Koel.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Digitaria horizontalis";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Digitaria horizontalis Willd.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Digitaria radicosa";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glon";0;"Digitaria radicosa (Presl) Miq.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Eleusine indica";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Eleusine indica (L.) Gaertn.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Eragrostis amabilis";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Eragrostis tenella (L.) Beauv. ex Roemer & Schultes";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Eriochloa procera";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Eriochloa procera (Retz.) C.E.Hubb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Oplismenus hirtellus";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Oplismenus hirtellus (L.) Beauv.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Paspalum conjugatum";"Aunu'u";"Samoa";0,25;"0";"Poaceae";"Poales";"glonpier";0,5;"Paspalum conjugatum Bergius";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1,150";"-14.284039";"-170.553464"
"Paspalum setaceum";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Paspalum setaceum Michx.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Paspalum vaginatum";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Paspalum vaginatum Sw.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Sporobolus diandrus";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glon";0;"Sporobolus diander (Retz.) P.Beauv.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Zoysia tenuifolia";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glon";0;"Zoysia tenuifolia Willd. ex Trin.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Eichhornia crassipes";"Aunu'u";"Samoa";0;"0";"Pontederiaceae";"Commelinales";"glonpier";0;"Eichhornia crassipes (Mart.) Solms in DC.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Tacca leontopetaloides";"Aunu'u";"Samoa";1;"0";"Taccaceae";"Dioscoreales";"glon";0;"Tacca leontopetaloides (L.) Kuntze";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Zingiber zerumbet";"Aunu'u";"Samoa";0;"0";"Zingiberaceae";"Zingiberales";"glon";0;"Zingiber zerumbet (L.) Smith";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Amaranthus blitum";"Aunu'u";"Samoa";0;"0";"Amaranthaceae";"Caryophyllales";"glonpier";0;"Amaranthus lividus L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
"Paspalum fimbriatum";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Paspalum fimbriatum H.B.K.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"1";"-14.284039";"-170.553464"
