"";"species";"island";"islandgroup";"nat_score";"cult_stat";"family";"order";"dataset";"inva_stat";"orginal_name";"reference";"sp_ar";"sp_is";"dataset_ar";"nat_score2";"inva_stat2";"refid";"latitude";"longitude"
"3894";"Dioscorea bulbifera";"Aunu'u";"Samoa";0,333;"0";"Dioscoreaceae";"Dioscoreales";"glonpier";0,5;"Dioscorea bulbifera L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Dioscorea bulbifera_Samoa";"Dioscorea bulbifera_Aunu'u";"glonpier";0;0;"1,150,3113";"-14.284039";"-170.553464"
"3895";"Axonopus compressus";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Axonopus compressus (Sw.) Beauv.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Axonopus compressus_Samoa";"Axonopus compressus_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3896";"Bothriochloa bladhii";"Aunu'u";"Samoa";0,333;"0";"Poaceae";"Poales";"glonpier";0,5;"Bothriochloa bladhii (Retz.) S.T.Blake";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Bothriochloa bladhii_Samoa";"Bothriochloa bladhii_Aunu'u";"glonpier";0;0;"1,150,1220";"-14.284039";"-170.553464"
"3897";"Urochloa glumaris";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Brachiaria paspaloides (Presl) C.E.Hubb.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Urochloa glumaris_Samoa";"Urochloa glumaris_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3898";"Cenchrus echinatus";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Cenchrus echinatus L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cenchrus echinatus_Samoa";"Cenchrus echinatus_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3900";"Chloris barbata";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Chloris barbata (L.) Sw.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Chloris barbata_Samoa";"Chloris barbata_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3901";"Chrysopogon aciculatus";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Chrysopogon aciculatus (Retz.) Trin.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Chrysopogon aciculatus_Samoa";"Chrysopogon aciculatus_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3902";"Coix lacryma-jobi";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Coix lacryma-jobi L.";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Coix lacryma-jobi_Samoa";"Coix lacryma-jobi_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
"3903";"Cyrtococcum oxyphyllum";"Aunu'u";"Samoa";1;"0";"Poaceae";"Poales";"glonpier";0;"Cyrtococcum oxyphyllum Stapf";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyrtococcum oxyphyllum_Samoa";"Cyrtococcum oxyphyllum_Aunu'u";"glonpier";1;0;"1";"-14.284039";"-170.553464"
"3904";"Cyrtococcum trigonum";"Aunu'u";"Samoa";0;"0";"Poaceae";"Poales";"glonpier";0;"Cyrtococcum trigonum (Retz.) A.Camus";"Whistler, W. A. 1998. A study of the rare plants of American Samoa. The U.S. Fish and Wildlife Service, Honolulu, Hawaii.";"Cyrtococcum trigonum_Samoa";"Cyrtococcum trigonum_Aunu'u";"glonpier";0;0;"1";"-14.284039";"-170.553464"
