Quadrat;Species;PropCover;Height1;Height2;Height3;Height4;Height5;Height6;Height7;Height8;Height9;Height10;LeafArea1;LeafArea2;LeafArea3;LeafArea4;LeafArea5;LeafArea6;LeafArea7;LeafArea8;LeafArea9;LeafArea10;SLA1;SLA2;SLA3;SLA4;SLA5;SLA6;SLA7;SLA8;SLA9;SLA10
12;Tri_che;0.202;5;4.5;10;12;7;5;7;6;6;6.5;31.5;28.3;39.5;46.95;55.4;32.55;67.7;27.5;36.65;55.5;27.632;31.444;24.921;24.264;19.405;22.218;26.601;25.346;27.249;22.112
13;Ant_cor;0.098;9;6.6;9.2;6.4;6.1;6.8;10.2;5.6;7.5;8.2;144.6;337.1;359.4;90.7;88.85;147.1;179.65;136.6;342.15;308.75;19.435;23.765;24.846;27.568;26.018;27.04;23.226;27.265;24.866;24.407
13;Bis_pel;0.098;7;3.1;4.2;1.8;4;4.8;4.1;2.5;3.3;6.5;147.1;65.2;80.2;85.55;65.15;82.45;84.5;93.2;30.3;72.7;32.835;35.339;38.19;32.101;25.853;44.091;45.067;46.484;40.946;41.307
13;Bro_hor;0.213;8.2;10;14.1;16.4;12.5;9.5;12.2;15.4;12.7;9.2;51.2;39.95;34;84.7;64.25;55.45;99.9;132.7;105.75;39.35;39.69;31.833;26.357;26.427;30.307;33.811;36.661;34.738;42.131;30.863
13;Dac_glo;0.098;11.2;10.5;14;14.5;13.7;16.6;5.1;17;18.2;16;157.6;61.95;55.6;44.85;113.35;83.55;73.25;134.75;217.15;80.75;25.815;30.593;29.574;21.667;25.968;20.94;43.215;25.963;40.895;22.683
13;Pla_lag;0.213;6.4;5.5;4.2;6.1;4.5;5.8;6.1;3.4;5.2;5.3;108.1;154.55;69.9;167.75;84.6;156.65;243.4;97.7;206.05;163.5;25.169;29.051;25.651;25.056;23.731;28.982;28.635;37.008;25.772;21.57
13;Pol_tet;0.034;1.8;2.1;1.5;2.3;1.6;1.5;2.5;3.6;1.4;1.8;5.8;10.25;10.55;7.55;7.75;3.75;6.7;8.2;5.85;4.45;96.667;128.125;131.875;107.857;129.167;62.5;95.714;102.5;97.5;74.167
13;Tri_che;0.213;6.8;3.8;7.1;5.3;5.8;7.4;4.7;6.1;4.9;7.9;74.45;87.7;60.4;66.3;66.9;76.1;109.65;99.6;33.5;111.95;26.169;26.779;31.789;29.865;31.557;29.785;32.25;28.295;26.172;26.56
13;Tri_glo;0.034;4.5;5;4.3;5.2;4.8;3.2;2.5;5.4;4.8;4.3;83.25;NA;62.85;NA;101.1;43;46.4;102.55;103;73.7;29.679;NA;34.158;NA;37.169;48.315;41.802;36.046;39.768;44.939
14;Ana_cla;0.17;6;6;7;11;9;6.5;7.8;4.5;8.4;7;80.3;75.8;86.3;259.5;76.05;82.1;81.25;44.85;40.65;104.1;16.472;22.526;26.432;20.927;18.37;15.403;11.261;13.309;16.626;13.715
14;Ant_cor;0.06;3.5;7;5.5;8;4;5;3.5;7.5;6.5;4.5;127.15;109.1;147.6;166.8;280.3;162.95;63.65;179.3;171.65;89.45;22.287;26.353;20.951;19.589;20.356;14.207;16.511;16.124;15.117;15.734
