Species	Day_95%	Day_75%	Day_50%	Day_05%	Senescence_date	Senescence_pace	Senescence_shape	Senescence_asynchrony
Molinia arundinacea	187	222	248	285	248	0.0102	0.5	21.08
Nepeta cataria	180	199	216	242	216	0.0161	0.3254	32.42
Ononis spinosa	194	210	227	252	227	0.0172	0.2776	38.18
Origanum vulgare	167	191	212	251	212	0.0119	0.1431	44.73
Parietaria officinalis	230	284	310	337	310	0.0093	1.0862	17.62
Peucedanum cervaria	220	266	281	301	281	0.0123	1.1151	65
Phleum phleoides	178	198	216	249	216	0.0141	0.1411	70.7
Phleum pratense	148	171	195	260	195	0.0089	-0.3242	26.12
Phlomis tuberosa	152	178	202	240	202	0.0114	0.2744	51.59
Plantago media	177	223	277	359	277	0.0055	0.1985	40.01
Poa compressa	131	154	171	199	171	0.0147	0.3567	10.54
Poa nemoralis	134	157	177	216	177	0.0122	0.0976	13.21
Polemonium caeruleum	162	183	199	223	199	0.0164	0.4329	38.75
Potentilla alba	186	240	301	413	301	0.0044	0.0264	26.19
Potentilla incana	210	308	463	NA	463	0.002	NA	62.23
Potentilla argentea	205	242	266	299	266	0.0106	0.6144	37.52
Potentilla erecta	186	215	236	262	236	0.0132	0.6539	15.27
Potentilla heptaphylla	342	396	460	NA	460	0.0042	NA	96.06
Potentilla recta	180	206	226	254	226	0.0135	0.4964	9.84
Potentilla reptans	140	160	175	200	175	0.0167	0.3365	58.92
Primula veris	159	191	221	275	221	0.0086	0.1382	37.66
Prunella laciniata	172	192	207	228	207	0.0179	0.5108	21.41
Prunella vulgaris	194	212	225	243	225	0.0204	0.5436	7.36
Petasites albus	167	200	222	250	222	0.012	0.6751	11.31
Pulsatilla pratensis	141	175	207	251	207	0.0091	0.4055	47.12
Ranunculus acris	160	182	205	245	205	0.0118	0.1178	60.15
Rumex obtusifolius	160	180	196	220	196	0.0167	0.4055	27.06
Rumex sanguineus	167	194	214	240	214	0.0137	0.5921	67.17
Rumex thyrsiflorus	165	189	207	234	207	0.0145	0.4418	15.21
Salvia glutinosa	178	226	271	320	271	0.007	0.6408	27.78
Salvia nemorosa	174	222	260	299	260	0.008	0.7908	51.16
Sanicula europaea	174	193	207	225	207	0.0196	0.6061	7.97
Sanguisorba minor	168	195	215	243	215	0.0133	0.5179	17.93
Sanguisorba officinalis	159	188	210	239	210	0.0125	0.5645	44.6
Saponaria officinalis	183	210	238	275	238	0.0109	0.3964	55.38
Scabiosa columbaria	201	252	285	323	285	0.0082	0.7932	17.58
Scabiosa ochroleuca	224	318	344	376	344	0.0066	1.3218	11.28
Scirpus sylvaticus	247	280	300	329	300	0.0122	0.603	4.72
Scorzonera hispanica	174	196	217	247	217	0.0137	0.36	75.92
Scrophularia nodosa	189	223	245	270	245	0.0123	0.8065	43.87
Scutellaria galericulata	187	216	238	270	238	0.012	0.4661	52.06
Senecio ovatus	194	215	230	250	230	0.0179	0.5878	16.17
Sesleria caerulea	151	206	252	301	252	0.0067	0.7233	107.83
Seseli osseum	232	261	279	306	279	0.0135	0.5543	4.24
Sesleria uliginosa	155	193	231	298	231	0.007	0.126	71.33
Schoenoplectus tabernaemontani	203	225	241	263	241	0.0167	0.5465	24.34
Silene latifolia	179	205	229	270	229	0.011	0.1985	75.09
Silene nutans	176	203	223	254	223	0.0128	0.4162	22.78
Silene vulgaris	210	248	282	321	282	0.009	0.6131	15.85
Solidago canadensis	189	222	264	327	264	0.0072	0.1744	101.17
Solidago virgaurea	208	233	257	287	257	0.0127	0.4906	37.58
Stachys palustris	237	276	295	320	295	0.012	0.8416	13.21
Stachys recta	215	265	303	341	303	0.0079	0.8398	35.65
Stachys sylvatica	322	341	355	376	355	0.0185	0.452	109.49
Stellaria holostea	146	172	193	221	193	0.0133	0.5179	70.28
Stipa capillata	189	206	224	254	224	0.0154	0.1542	87.27
Stipa pennata	170	188	205	233	205	0.0159	0.2231	51.03
Succisa pratensis	209	231	245	267	245	0.0172	0.4925	8.24
Symphytum tuberosum	134	150	163	180	163	0.0217	0.5341	9.83
Symphytum officinale	195	227	251	283	251	0.0114	0.5596	16.25
